t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222384484000000,31.58,25.6,27.57,26.37,5.98,1.27,15.95,10.18,8.91,20.24,6.06,4.11,26.83,2.86,3.11,0
222384500000000,31.58,25.6,27.57,26.37,5.98,1.27,15.95,10.18,8.91,20.24,6.06,4.11,26.83,2.86,3.11,0
222384515000000,31.58,25.6,27.57,26.37,5.98,1.27,15.95,10.18,8.91,20.24,6.06,4.11,26.83,2.86,3.11,0
222384515000000,31.58,25.6,27.57,26.37,5.98,1.27,15.95,10.18,8.91,20.24,6.06,4.11,26.83,2.86,3.11,0
222384531000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384531000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384546000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384562000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384562000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384578000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384593000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384593000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384609000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384609000000,31.11,25.87,27.64,26.5,6.13,1.41,15.29,11.3,11.31,19.73,6.09,4.06,26.38,3.24,3.09,0
222384625000000,31.81,25.26,25.49,26.55,6.15,1.55,15.94,12.76,17.97,20.57,6.56,4.55,27.26,3.06,3.03,0
222384640000000,31.81,25.26,25.49,26.55,6.15,1.55,15.94,12.76,17.97,20.57,6.56,4.55,27.26,3.06,3.03,0
222384640000000,31.81,25.26,25.49,26.55,6.15,1.55,15.94,12.76,17.97,20.57,6.56,4.55,27.26,3.06,3.03,0
222384656000000,31.81,25.26,25.49,26.55,6.15,1.55,15.94,12.76,17.97,20.57,6.56,4.55,27.26,3.06,3.03,0
222384671000000,31.63,24.5,24.93,27.16,6.57,1.84,15.56,14.87,34.99,20.42,6.87,4.74,27.81,3.53,2.97,0
222384671000000,31.63,24.5,24.93,27.16,6.57,1.84,15.56,14.87,34.99,20.42,6.87,4.74,27.81,3.53,2.97,0
222384687000000,31.63,24.5,24.93,27.16,6.57,1.84,15.56,14.87,34.99,20.42,6.87,4.74,27.81,3.53,2.97,0
222384703000000,31.63,24.5,24.93,27.16,6.57,1.84,15.56,14.87,34.99,20.42,6.87,4.74,27.81,3.53,2.97,0
222384703000000,31.63,24.5,24.93,27.16,6.57,1.84,15.56,14.87,34.99,20.42,6.87,4.74,27.81,3.53,2.97,0
222384718000000,30.49,23.97,23.3,26.55,6.21,1.87,14.3,12.37,25.34,19.29,6.14,4.05,27.69,3.2,2.59,0
222384734000000,30.49,23.97,23.3,26.55,6.21,1.87,14.3,12.37,25.34,19.29,6.14,4.05,27.69,3.2,2.59,0
222384734000000,30.49,23.97,23.3,26.55,6.21,1.87,14.3,12.37,25.34,19.29,6.14,4.05,27.69,3.2,2.59,0
222384750000000,30.49,23.97,23.3,26.55,6.21,1.87,14.3,12.37,25.34,19.29,6.14,4.05,27.69,3.2,2.59,0
222384765000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384765000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384781000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384796000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384796000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384812000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384812000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384828000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384843000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384843000000,30.93,24.37,22.83,25.32,5.99,1.39,13.87,12.16,23.77,19.03,6.07,4.41,27.16,3.03,2.67,0
222384859000000,30.81,24.21,22.24,26.23,6.27,1.67,14.42,14.13,27.6,19.18,6.91,4.42,27.23,3.32,2.61,0
222384875000000,30.81,24.21,22.24,26.23,6.27,1.67,14.42,14.13,27.6,19.18,6.91,4.42,27.23,3.32,2.61,0
222384875000000,30.81,24.21,22.24,26.23,6.27,1.67,14.42,14.13,27.6,19.18,6.91,4.42,27.23,3.32,2.61,0
222384890000000,30.81,24.21,22.24,26.23,6.27,1.67,14.42,14.13,27.6,19.18,6.91,4.42,27.23,3.32,2.61,0
222384890000000,30.81,24.21,22.24,26.23,6.27,1.67,14.42,14.13,27.6,19.18,6.91,4.42,27.23,3.32,2.61,0
222384906000000,30.81,24.06,21.95,26.24,6.6,1.61,14.76,14.05,28.33,19.51,6.79,4.45,27.52,3.33,2.61,0
222384921000000,30.81,24.06,21.95,26.24,6.6,1.61,14.76,14.05,28.33,19.51,6.79,4.45,27.52,3.33,2.61,0
222384921000000,30.81,24.06,21.95,26.24,6.6,1.61,14.76,14.05,28.33,19.51,6.79,4.45,27.52,3.33,2.61,0
222384937000000,30.81,24.06,21.95,26.24,6.6,1.61,14.76,14.05,28.33,19.51,6.79,4.45,27.52,3.33,2.61,0
222384953000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222384953000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222384968000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222384984000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222384984000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222385000000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222385000000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222385015000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222385031000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222385031000000,30.61,24.05,20.87,25.72,6.29,1.92,14.64,13.29,21.64,19.21,6.77,4.49,27.05,3.31,2.91,0
222385046000000,29.94,24.93,21.22,25.63,5.62,1.86,16.51,7.18,2.5,20.12,5.42,3.3,26.54,3.26,2.74,0
222385062000000,29.94,24.93,21.22,25.63,5.62,1.86,16.51,7.18,2.5,20.12,5.42,3.3,26.54,3.26,2.74,0
222385062000000,29.94,24.93,21.22,25.63,5.62,1.86,16.51,7.18,2.5,20.12,5.42,3.3,26.54,3.26,2.74,0
222385078000000,29.94,24.93,21.22,25.63,5.62,1.86,16.51,7.18,2.5,20.12,5.42,3.3,26.54,3.26,2.74,0
222385093000000,31.39,25.82,24.77,26.09,5.76,1.96,17.04,7.83,3.68,20.81,5.98,3.91,26.77,3.87,3.69,0
222385093000000,31.39,25.82,24.77,26.09,5.76,1.96,17.04,7.83,3.68,20.81,5.98,3.91,26.77,3.87,3.69,0
