t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
221926484000000,0,PREP,P01,S01,mvc,0,1023,878,849,777,PREP_START,0,0
221926484000000,1,PREP,P01,S01,mvc,0,1023,882,851,779,,0,0
221926500000000,2,PREP,P01,S01,mvc,0,1023,881,850,781,,0,0
221926515000000,3,PREP,P01,S01,mvc,0,1023,882,849,782,,0,0
221926515000000,4,PREP,P01,S01,mvc,0,1023,881,851,782,,0,0
221926531000000,5,PREP,P01,S01,mvc,0,1023,883,850,783,,0,0
221926546000000,6,PREP,P01,S01,mvc,0,1023,882,852,784,,0,0
221926546000000,7,PREP,P01,S01,mvc,0,1023,881,850,784,,0,0
221926562000000,8,PREP,P01,S01,mvc,0,1023,883,851,785,,0,0
221926578000000,9,PREP,P01,S01,mvc,0,1023,881,850,785,,0,0
221926578000000,10,PREP,P01,S01,mvc,0,1023,881,852,784,,0,0
221926593000000,11,PREP,P01,S01,mvc,0,1023,880,851,783,,0,0
221926609000000,12,PREP,P01,S01,mvc,0,1023,881,851,781,,0,0
221926609000000,13,PREP,P01,S01,mvc,0,1023,881,852,780,,0,0
221926625000000,14,PREP,P01,S01,mvc,0,1023,881,852,781,,0,0
221926625000000,15,PREP,P01,S01,mvc,0,1023,880,851,780,,0,0
221926640000000,16,PREP,P01,S01,mvc,0,1023,880,852,781,,0,0
221926656000000,17,PREP,P01,S01,mvc,0,1023,880,852,780,,0,0
221926656000000,18,PREP,P01,S01,mvc,0,1023,881,852,782,,0,0
221926671000000,19,PREP,P01,S01,mvc,0,1023,879,852,782,,0,0
221926687000000,20,PREP,P01,S01,mvc,0,1023,880,850,779,,0,0
221926687000000,21,PREP,P01,S01,mvc,0,1023,880,852,782,,0,0
221926703000000,22,PREP,P01,S01,mvc,0,1023,880,852,782,,0,0
221926718000000,23,PREP,P01,S01,mvc,0,1023,878,851,781,,0,0
221926718000000,24,PREP,P01,S01,mvc,0,1023,876,851,785,,0,0
221926734000000,25,PREP,P01,S01,mvc,0,1023,875,848,783,,0,0
221926734000000,26,PREP,P01,S01,mvc,0,1023,876,852,784,,0,0
221926750000000,27,PREP,P01,S01,mvc,0,1023,876,851,783,,0,0
221926765000000,28,PREP,P01,S01,mvc,0,1023,877,851,784,,0,0
221926765000000,29,PREP,P01,S01,mvc,0,1023,876,850,785,,0,0
221926781000000,30,PREP,P01,S01,mvc,0,1023,876,846,784,,0,0
221926796000000,31,PREP,P01,S01,mvc,0,1023,877,848,788,,0,0
221926796000000,32,PREP,P01,S01,mvc,0,1023,877,848,785,,0,0
221926812000000,33,PREP,P01,S01,mvc,0,1023,877,848,786,,0,0
221926828000000,34,PREP,P01,S01,mvc,0,1023,877,848,786,,0,0
221926828000000,35,PREP,P01,S01,mvc,0,1023,878,848,786,,0,0
221926843000000,36,PREP,P01,S01,mvc,0,1023,878,849,789,,0,0
221926859000000,37,PREP,P01,S01,mvc,0,1023,877,849,789,,0,0
221926859000000,38,PREP,P01,S01,mvc,0,1023,877,847,789,,0,0
221926875000000,39,PREP,P01,S01,mvc,0,1023,878,847,789,,0,0
221926875000000,40,PREP,P01,S01,mvc,0,1021,877,843,790,,0,0
221926890000000,41,PREP,P01,S01,mvc,0,1022,877,844,790,,0,0
221926906000000,42,PREP,P01,S01,mvc,0,1022,875,840,789,,0,0
221926906000000,43,PREP,P01,S01,mvc,0,1020,874,837,786,,0,0
221926921000000,44,PREP,P01,S01,mvc,0,1020,872,837,788,,0,0
221926937000000,45,PREP,P01,S01,mvc,0,1019,870,834,785,,0,0
221926937000000,46,PREP,P01,S01,mvc,0,1019,870,833,785,,0,0
221926953000000,47,PREP,P01,S01,mvc,0,1018,870,832,787,,0,0
221926968000000,48,PREP,P01,S01,mvc,0,1017,870,832,787,,0,0
221926968000000,49,PREP,P01,S01,mvc,0,1015,869,829,787,,0,0
221926984000000,50,PREP,P01,S01,mvc,0,1012,866,823,785,,0,0
221926984000000,51,PREP,P01,S01,mvc,0,1009,864,819,787,,0,0
221927000000000,52,PREP,P01,S01,mvc,0,998,862,816,784,,0,0
221927015000000,53,PREP,P01,S01,mvc,0,991,860,802,781,,0,0
221927015000000,54,PREP,P01,S01,mvc,0,977,854,795,774,,0,0
221927031000000,55,PREP,P01,S01,mvc,0,965,848,777,769,,0,0
221927046000000,56,PREP,P01,S01,mvc,0,949,847,762,766,,0,0
221927046000000,57,PREP,P01,S01,mvc,0,948,835,753,761,,0,0
221927062000000,58,PREP,P01,S01,mvc,0,940,831,746,758,,0,0
221927078000000,59,PREP,P01,S01,mvc,0,936,824,732,753,,0,0
221927078000000,60,PREP,P01,S01,mvc,0,924,814,721,744,,0,0
221927093000000,61,PREP,P01,S01,mvc,0,912,803,697,736,,0,0
221927109000000,62,PREP,P01,S01,mvc,0,897,781,681,732,,0,0
221927109000000,63,PREP,P01,S01,mvc,0,881,756,651,722,,1,0
221927125000000,64,PREP,P01,S01,mvc,0,855,747,645,704,,1,0
221927125000000,65,PREP,P01,S01,mvc,0,829,729,622,683,,1,0
221927140000000,66,PREP,P01,S01,mvc,0,798,718,606,662,,1,0
221927156000000,67,PREP,P01,S01,mvc,0,776,705,597,648,,1,0
221927156000000,68,PREP,P01,S01,mvc,0,756,702,595,646,,1,0
221927171000000,69,PREP,P01,S01,mvc,0,743,694,591,644,,1,0
221927187000000,70,PREP,P01,S01,mvc,0,724,674,578,640,,1,0
221927187000000,71,PREP,P01,S01,mvc,0,713,672,561,620,,1,0
221927203000000,72,PREP,P01,S01,mvc,0,705,666,539,605,,1,0
221927218000000,73,PREP,P01,S01,mvc,0,692,660,529,588,,0,0
221927218000000,74,PREP,P01,S01,mvc,0,686,651,516,568,,0,0
221927234000000,75,PREP,P01,S01,mvc,0,667,640,486,544,,0,0
221927250000000,76,PREP,P01,S01,mvc,0,658,637,476,514,,0,0
221927250000000,77,PREP,P01,S01,mvc,0,641,623,464,507,,0,0
221927265000000,78,PREP,P01,S01,mvc,0,629,617,462,502,,0,0
221927265000000,79,PREP,P01,S01,mvc,0,617,596,453,482,,0,0
221927281000000,80,PREP,P01,S01,mvc,0,603,590,450,478,,0,0
221927296000000,81,PREP,P01,S01,mvc,0,597,583,448,465,,0,0
221927296000000,82,PREP,P01,S01,mvc,0,594,572,439,442,,0,0
221927312000000,83,PREP,P01,S01,mvc,0,595,567,442,424,,0,0
221927328000000,84,PREP,P01,S01,mvc,0,589,563,440,425,,0,0
221927328000000,85,PREP,P01,S01,mvc,0,590,554,420,414,,0,0
221927343000000,86,PREP,P01,S01,mvc,0,588,551,417,420,,0,0
221927359000000,87,PREP,P01,S01,mvc,0,587,548,413,411,,0,0
221927359000000,88,PREP,P01,S01,mvc,0,585,546,400,404,,0,0
221927375000000,89,PREP,P01,S01,mvc,0,577,540,397,403,,0,0
221927375000000,90,PREP,P01,S01,mvc,0,569,540,397,401,,0,0
221927390000000,91,PREP,P01,S01,mvc,0,556,536,396,401,,0,0
221927406000000,92,PREP,P01,S01,mvc,0,552,532,393,409,,0,0
221927406000000,93,PREP,P01,S01,mvc,0,545,531,390,413,,0,0
221927421000000,94,PREP,P01,S01,mvc,0,533,530,382,408,,0,0
221927437000000,95,PREP,P01,S01,mvc,0,534,534,383,413,,0,0
221927437000000,96,PREP,P01,S01,mvc,0,510,536,383,412,,0,0
221927453000000,97,PREP,P01,S01,mvc,0,498,537,382,416,,0,0
221927468000000,98,PREP,P01,S01,mvc,0,499,531,382,416,,0,0
221927468000000,99,PREP,P01,S01,mvc,0,498,526,375,416,,0,0
221927484000000,100,PREP,P01,S01,mvc,0,492,524,372,407,,0,0
221927484000000,101,PREP,P01,S01,mvc,0,491,525,369,408,,0,0
221927500000000,102,PREP,P01,S01,mvc,0,489,525,365,405,,0,0
221927515000000,103,PREP,P01,S01,mvc,0,487,522,358,402,,0,0
221927515000000,104,PREP,P01,S01,mvc,0,486,515,353,404,,0,0
221927531000000,105,PREP,P01,S01,mvc,0,486,513,346,387,,0,0
221927546000000,106,PREP,P01,S01,mvc,0,487,521,342,390,,0,0
221927546000000,107,PREP,P01,S01,mvc,0,487,520,339,389,,0,0
221927562000000,108,PREP,P01,S01,mvc,0,488,517,333,377,,0,0
221927578000000,109,PREP,P01,S01,mvc,0,488,518,324,370,,0,0
221927578000000,110,PREP,P01,S01,mvc,0,489,517,319,371,,0,0
221927593000000,111,PREP,P01,S01,mvc,0,486,518,308,369,,0,0
221927609000000,112,PREP,P01,S01,mvc,0,488,520,294,360,,0,0
221927609000000,113,PREP,P01,S01,mvc,0,489,522,287,366,,0,0
221927625000000,114,PREP,P01,S01,mvc,0,486,521,284,363,,0,0
221927625000000,115,PREP,P01,S01,mvc,0,482,521,282,365,,0,0
221927640000000,116,PREP,P01,S01,mvc,0,482,521,277,364,,0,0
221927656000000,117,PREP,P01,S01,mvc,0,480,521,281,364,,0,0
221927656000000,118,PREP,P01,S01,mvc,0,481,520,279,363,,0,0
221927671000000,119,PREP,P01,S01,mvc,0,479,523,283,360,,0,0
221927687000000,120,PREP,P01,S01,mvc,0,478,522,282,359,,0,0
221927687000000,121,PREP,P01,S01,mvc,0,480,523,283,358,,0,0
221927703000000,122,PREP,P01,S01,mvc,0,484,528,285,358,,0,0
221927718000000,123,PREP,P01,S01,mvc,0,486,528,287,360,,0,0
221927718000000,124,PREP,P01,S01,mvc,0,488,530,289,360,,0,0
221927734000000,125,PREP,P01,S01,mvc,0,487,530,289,361,,0,0
221927734000000,126,PREP,P01,S01,mvc,0,488,535,290,359,,0,0
221927750000000,127,PREP,P01,S01,mvc,0,490,531,290,360,,0,0
221927765000000,128,PREP,P01,S01,mvc,0,492,531,290,358,,0,0
221927765000000,129,PREP,P01,S01,mvc,0,492,530,290,355,,0,0
221927781000000,130,PREP,P01,S01,mvc,0,505,531,288,352,,0,0
221927796000000,131,PREP,P01,S01,mvc,0,508,530,288,352,,0,0
221927796000000,132,PREP,P01,S01,mvc,0,508,533,289,352,,0,0
221927812000000,133,PREP,P01,S01,mvc,0,508,531,289,357,,0,0
221927828000000,134,PREP,P01,S01,mvc,0,522,532,287,360,,0,0
221927828000000,135,PREP,P01,S01,mvc,0,524,546,288,363,,0,0
221927843000000,136,PREP,P01,S01,mvc,0,525,548,289,368,,0,0
221927859000000,137,PREP,P01,S01,mvc,0,540,546,291,369,,0,0
221927859000000,138,PREP,P01,S01,mvc,0,545,551,299,371,,0,0
221927875000000,139,PREP,P01,S01,mvc,0,568,553,306,379,,0,0
221927875000000,140,PREP,P01,S01,mvc,0,584,552,323,385,,0,0
221927890000000,141,PREP,P01,S01,mvc,0,616,553,341,405,,0,0
221927906000000,142,PREP,P01,S01,mvc,0,633,553,345,406,,0,0
221927906000000,143,PREP,P01,S01,mvc,0,649,550,348,411,,0,0
221927921000000,144,PREP,P01,S01,mvc,0,654,547,348,412,,0,0
221927937000000,145,PREP,P01,S01,mvc,0,659,547,354,413,,0,0
221927937000000,146,PREP,P01,S01,mvc,0,671,550,355,413,,0,0
221927953000000,147,PREP,P01,S01,mvc,0,682,551,361,415,,0,0
221927968000000,148,PREP,P01,S01,mvc,0,683,551,363,415,,0,0
221927968000000,149,PREP,P01,S01,mvc,0,688,552,364,414,,0,0
221927984000000,150,PREP,P01,S01,mvc,0,689,552,364,414,,0,0
221927984000000,151,PREP,P01,S01,mvc,0,690,556,366,414,,0,0
221928000000000,152,PREP,P01,S01,mvc,0,693,556,367,411,,0,0
221928015000000,153,PREP,P01,S01,mvc,0,694,555,366,409,,0,0
221928015000000,154,PREP,P01,S01,mvc,0,694,562,367,408,,0,0
221928031000000,155,PREP,P01,S01,mvc,0,694,568,367,408,,0,0
221928046000000,156,PREP,P01,S01,mvc,0,695,570,366,408,,0,0
221928046000000,157,PREP,P01,S01,mvc,0,695,576,367,406,,0,0
221928062000000,158,PREP,P01,S01,mvc,0,696,577,360,407,,0,0
221928078000000,159,PREP,P01,S01,mvc,0,694,580,352,407,,0,0
221928078000000,160,PREP,P01,S01,mvc,0,693,584,343,409,,0,0
221928093000000,161,PREP,P01,S01,mvc,0,690,590,342,410,,0,0
221928109000000,162,PREP,P01,S01,mvc,0,673,595,342,410,,0,0
221928109000000,163,PREP,P01,S01,mvc,0,660,597,337,409,,1,0
221928125000000,164,PREP,P01,S01,mvc,0,645,605,339,409,,1,0
221928125000000,165,PREP,P01,S01,mvc,0,613,605,321,408,,1,0
221928140000000,166,PREP,P01,S01,mvc,0,601,607,316,410,,1,0
221928156000000,167,PREP,P01,S01,mvc,0,587,608,308,409,,1,0
221928156000000,168,PREP,P01,S01,mvc,0,568,610,294,407,,1,0
221928171000000,169,PREP,P01,S01,mvc,0,557,614,282,402,,1,0
221928187000000,170,PREP,P01,S01,mvc,0,526,613,279,404,,1,0
221928187000000,171,PREP,P01,S01,mvc,0,508,621,268,413,,1,0
221928203000000,172,PREP,P01,S01,mvc,0,494,637,264,412,,1,0
221928218000000,173,PREP,P01,S01,mvc,0,499,649,263,412,,0,0
221928218000000,174,PREP,P01,S01,mvc,0,505,658,257,419,,0,0
221928234000000,175,PREP,P01,S01,mvc,0,515,676,253,423,,0,0
221928234000000,176,PREP,P01,S01,mvc,0,525,691,254,426,,0,0
221928250000000,177,PREP,P01,S01,mvc,0,523,701,245,424,,0,0
221928265000000,178,PREP,P01,S01,mvc,0,522,712,242,432,,0,0
221928265000000,179,PREP,P01,S01,mvc,0,532,724,244,426,,0,0
221928281000000,180,PREP,P01,S01,mvc,0,540,729,244,425,,0,0
221928296000000,181,PREP,P01,S01,mvc,0,547,740,239,425,,0,0
221928296000000,182,PREP,P01,S01,mvc,0,560,747,238,421,,0,0
221928312000000,183,PREP,P01,S01,mvc,0,565,759,234,414,,0,0
221928328000000,184,PREP,P01,S01,mvc,0,567,771,234,414,,0,0
221928328000000,185,PREP,P01,S01,mvc,0,573,784,233,412,,0,0
221928343000000,186,PREP,P01,S01,mvc,0,571,812,229,412,,0,0
221928359000000,187,PREP,P01,S01,mvc,0,573,842,226,417,,0,0
221928359000000,188,PREP,P01,S01,mvc,0,584,856,226,419,,0,0
221928375000000,189,PREP,P01,S01,mvc,0,590,861,226,420,,0,0
221928375000000,190,PREP,P01,S01,mvc,0,602,864,225,423,,0,0
221928390000000,191,PREP,P01,S01,mvc,0,605,868,229,426,,0,0
221928406000000,192,PREP,P01,S01,mvc,0,611,870,228,427,,0,0
221928406000000,193,PREP,P01,S01,mvc,0,615,873,235,427,,0,0
221928421000000,194,PREP,P01,S01,mvc,0,619,879,238,428,,0,0
221928437000000,195,PREP,P01,S01,mvc,0,620,885,241,427,,0,0
221928437000000,196,PREP,P01,S01,mvc,0,624,890,242,428,,0,0
221928453000000,197,PREP,P01,S01,mvc,0,627,898,240,430,,0,0
221928468000000,198,PREP,P01,S01,mvc,0,631,903,243,430,,0,0
221928468000000,199,PREP,P01,S01,mvc,0,644,907,238,444,,0,0
221928484000000,200,PREP,P01,S01,mvc,0,646,908,240,450,,0,0
221928484000000,201,PREP,P01,S01,mvc,0,652,913,248,450,,0,0
221928500000000,202,PREP,P01,S01,mvc,0,658,917,248,455,,0,0
221928515000000,203,PREP,P01,S01,mvc,0,666,924,251,455,,0,0
221928515000000,204,PREP,P01,S01,mvc,0,668,928,251,453,,0,0
221928531000000,205,PREP,P01,S01,mvc,0,674,933,249,453,,0,0
221928546000000,206,PREP,P01,S01,mvc,0,683,937,250,448,,0,0
221928546000000,207,PREP,P01,S01,mvc,0,689,945,255,452,,0,0
221928562000000,208,PREP,P01,S01,mvc,0,694,949,256,462,,0,0
221928578000000,209,PREP,P01,S01,mvc,0,699,952,257,469,,0,0
221928578000000,210,PREP,P01,S01,mvc,0,697,954,253,476,,0,0
221928593000000,211,PREP,P01,S01,mvc,0,699,958,254,492,,0,0
221928609000000,212,PREP,P01,S01,mvc,0,697,960,258,495,,0,0
221928609000000,213,PREP,P01,S01,mvc,0,698,961,256,499,,0,0
221928625000000,214,PREP,P01,S01,mvc,0,705,964,256,503,,0,0
221928625000000,215,PREP,P01,S01,mvc,0,709,964,254,503,,0,0
221928640000000,216,PREP,P01,S01,mvc,0,706,964,256,515,,0,0
221928656000000,217,PREP,P01,S01,mvc,0,704,968,256,515,,0,0
221928656000000,218,PREP,P01,S01,mvc,0,705,969,261,514,,0,0
221928671000000,219,PREP,P01,S01,mvc,0,700,970,260,513,,0,0
221928687000000,220,PREP,P01,S01,mvc,0,706,971,258,505,,0,0
221928687000000,221,PREP,P01,S01,mvc,0,707,970,256,498,,0,0
221928703000000,222,PREP,P01,S01,mvc,0,707,972,261,501,,0,0
221928718000000,223,PREP,P01,S01,mvc,0,709,972,259,499,,0,0
221928718000000,224,PREP,P01,S01,mvc,0,708,972,262,499,,0,0
221928734000000,225,PREP,P01,S01,mvc,0,711,973,274,500,,0,0
221928750000000,226,PREP,P01,S01,mvc,0,710,974,282,506,,0,0
221928750000000,227,PREP,P01,S01,mvc,0,713,973,313,513,,0,0
221928765000000,228,PREP,P01,S01,mvc,0,720,975,318,519,,0,0
221928765000000,229,PREP,P01,S01,mvc,0,718,975,320,521,,0,0
221928781000000,230,PREP,P01,S01,mvc,0,724,975,320,531,,0,0
221928796000000,231,PREP,P01,S01,mvc,0,723,978,320,531,,0,0
221928796000000,232,PREP,P01,S01,mvc,0,721,977,322,531,,0,0
221928812000000,233,PREP,P01,S01,mvc,0,721,976,324,534,,0,0
221928828000000,234,PREP,P01,S01,mvc,0,719,978,324,539,,0,0
221928828000000,235,PREP,P01,S01,mvc,0,716,974,325,547,,0,0
221928843000000,236,PREP,P01,S01,mvc,0,713,976,325,559,,0,0
221928859000000,237,PREP,P01,S01,mvc,0,711,978,329,560,,0,0
221928859000000,238,PREP,P01,S01,mvc,0,716,979,327,561,,0,0
221928875000000,239,PREP,P01,S01,mvc,0,726,982,335,569,,0,0
221928875000000,240,PREP,P01,S01,mvc,0,732,983,332,572,,0,0
221928890000000,241,PREP,P01,S01,mvc,0,740,983,335,574,,0,0
221928906000000,242,PREP,P01,S01,mvc,0,744,982,336,576,,0,0
221928906000000,243,PREP,P01,S01,mvc,0,748,985,336,578,,0,0
221928921000000,244,PREP,P01,S01,mvc,0,749,978,336,579,,0,0
221928937000000,245,PREP,P01,S01,mvc,0,752,978,333,579,,0,0
221928937000000,246,PREP,P01,S01,mvc,0,754,978,318,581,,0,0
221928953000000,247,PREP,P01,S01,mvc,0,755,976,314,582,,0,0
221928968000000,248,PREP,P01,S01,mvc,0,758,976,304,591,,0,0
221928968000000,249,PREP,P01,S01,mvc,0,762,976,306,596,,0,0
221928984000000,250,PREP,P01,S01,mvc,0,762,975,306,595,,0,0
221928984000000,251,PREP,P01,S01,mvc,0,772,975,306,599,,0,0
221929000000000,252,PREP,P01,S01,mvc,0,773,975,304,600,,0,0
221929015000000,253,PREP,P01,S01,mvc,0,777,974,305,606,,0,0
221929015000000,254,PREP,P01,S01,mvc,0,778,975,316,609,,0,0
221929031000000,255,PREP,P01,S01,mvc,0,780,974,317,610,,0,0
221929046000000,256,PREP,P01,S01,mvc,0,780,975,317,609,,0,0
221929046000000,257,PREP,P01,S01,mvc,0,783,976,320,611,,0,0
221929062000000,258,PREP,P01,S01,mvc,0,781,976,319,610,,0,0
221929078000000,259,PREP,P01,S01,mvc,0,776,974,317,612,,0,0
221929078000000,260,PREP,P01,S01,mvc,0,776,971,312,611,,0,0
221929093000000,261,PREP,P01,S01,mvc,0,773,974,304,606,,0,0
221929109000000,262,PREP,P01,S01,mvc,0,769,973,304,606,,0,0
221929109000000,263,PREP,P01,S01,mvc,0,764,970,300,597,,1,0
221929125000000,264,PREP,P01,S01,mvc,0,763,968,281,597,,1,0
