t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222783578000000,0,PREP,P01,S01,pinkyDipIso,45,165,309,201,259,PREP_START,0,0
222783593000000,1,PREP,P01,S01,pinkyDipIso,45,164,307,203,254,,0,0
222783609000000,2,PREP,P01,S01,pinkyDipIso,45,159,306,202,255,,0,0
222783609000000,3,PREP,P01,S01,pinkyDipIso,45,162,306,202,256,,0,0
222783625000000,4,PREP,P01,S01,pinkyDipIso,45,162,307,201,257,,0,0
222783625000000,5,PREP,P01,S01,pinkyDipIso,45,162,306,202,257,,0,0
222783640000000,6,PREP,P01,S01,pinkyDipIso,45,162,306,203,256,,0,0
222783656000000,7,PREP,P01,S01,pinkyDipIso,45,160,303,201,255,,0,0
222783656000000,8,PREP,P01,S01,pinkyDipIso,45,156,307,202,256,,0,0
222783671000000,9,PREP,P01,S01,pinkyDipIso,45,155,305,201,256,,0,0
222783687000000,10,PREP,P01,S01,pinkyDipIso,45,157,308,202,257,,0,0
222783687000000,11,PREP,P01,S01,pinkyDipIso,45,155,306,202,257,,0,0
222783703000000,12,PREP,P01,S01,pinkyDipIso,45,156,306,204,255,,0,0
222783703000000,13,PREP,P01,S01,pinkyDipIso,45,156,306,203,256,,0,0
222783718000000,14,PREP,P01,S01,pinkyDipIso,45,155,305,202,260,,0,0
222783734000000,15,PREP,P01,S01,pinkyDipIso,45,155,305,204,252,,0,0
222783734000000,16,PREP,P01,S01,pinkyDipIso,45,154,304,204,252,,0,0
222783750000000,17,PREP,P01,S01,pinkyDipIso,45,148,304,202,251,,0,0
222783765000000,18,PREP,P01,S01,pinkyDipIso,45,147,305,203,251,,0,0
222783765000000,19,PREP,P01,S01,pinkyDipIso,45,147,305,205,250,,0,0
222783781000000,20,PREP,P01,S01,pinkyDipIso,45,146,303,203,251,,0,0
222783796000000,21,PREP,P01,S01,pinkyDipIso,45,148,305,203,252,,0,0
222783796000000,22,PREP,P01,S01,pinkyDipIso,45,145,303,204,252,,0,0
222783812000000,23,PREP,P01,S01,pinkyDipIso,45,145,305,203,252,,0,0
222783828000000,24,PREP,P01,S01,pinkyDipIso,45,144,305,203,254,,0,0
222783828000000,25,PREP,P01,S01,pinkyDipIso,45,142,303,205,252,,0,0
222783843000000,26,PREP,P01,S01,pinkyDipIso,45,141,303,204,252,,0,0
222783843000000,27,PREP,P01,S01,pinkyDipIso,45,142,299,201,253,,0,0
222783859000000,28,PREP,P01,S01,pinkyDipIso,45,141,301,203,253,,0,0
222783875000000,29,PREP,P01,S01,pinkyDipIso,45,141,299,201,253,,0,0
222783875000000,30,PREP,P01,S01,pinkyDipIso,45,140,299,201,254,,0,0
222783890000000,31,PREP,P01,S01,pinkyDipIso,45,138,291,200,255,,0,0
222783906000000,32,PREP,P01,S01,pinkyDipIso,45,138,296,203,258,,0,0
222783906000000,33,PREP,P01,S01,pinkyDipIso,45,140,297,203,258,,0,0
222783921000000,34,PREP,P01,S01,pinkyDipIso,45,141,296,202,258,,0,0
222783937000000,35,PREP,P01,S01,pinkyDipIso,45,140,297,202,258,,0,0
222783937000000,36,PREP,P01,S01,pinkyDipIso,45,139,296,203,257,,0,0
222783953000000,37,PREP,P01,S01,pinkyDipIso,45,142,296,206,256,,0,0
222783968000000,38,PREP,P01,S01,pinkyDipIso,45,138,292,204,258,,0,0
222783968000000,39,PREP,P01,S01,pinkyDipIso,45,139,292,202,258,,0,0
222783984000000,40,PREP,P01,S01,pinkyDipIso,45,141,294,202,258,,0,0
222783984000000,41,PREP,P01,S01,pinkyDipIso,45,138,294,203,258,,0,0
222784000000000,42,PREP,P01,S01,pinkyDipIso,45,138,292,203,258,,0,0
222784015000000,43,PREP,P01,S01,pinkyDipIso,45,140,294,202,258,,0,0
222784015000000,44,PREP,P01,S01,pinkyDipIso,45,139,295,203,258,,0,0
222784031000000,45,PREP,P01,S01,pinkyDipIso,45,139,293,202,259,,0,0
