t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222783578000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783593000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783609000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783609000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783625000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783625000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783640000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783656000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783656000000,26.1,27.73,30.4,27.06,7.57,2.51,19.78,7.86,1.63,27.19,5.8,3.79,31.6,5.21,3.81,0
222783671000000,26.04,27.46,29.03,26.67,8.22,2.84,19.86,8.37,1.55,27.56,5.77,3.63,31.31,5.79,4.62,0
222783687000000,26.04,27.46,29.03,26.67,8.22,2.84,19.86,8.37,1.55,27.56,5.77,3.63,31.31,5.79,4.62,0
222783687000000,26.04,27.46,29.03,26.67,8.22,2.84,19.86,8.37,1.55,27.56,5.77,3.63,31.31,5.79,4.62,0
222783703000000,26.04,27.46,29.03,26.67,8.22,2.84,19.86,8.37,1.55,27.56,5.77,3.63,31.31,5.79,4.62,0
222783703000000,26.04,27.46,29.03,26.67,8.22,2.84,19.86,8.37,1.55,27.56,5.77,3.63,31.31,5.79,4.62,0
