t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222650484000000,28.11,23.01,22.85,31.51,6.25,4.52,19.18,5.62,0.88,22.71,4.27,3.13,28.89,4.61,3.28,0
222650500000000,28.11,23.01,22.85,31.51,6.25,4.52,19.18,5.62,0.88,22.71,4.27,3.13,28.89,4.61,3.28,0
222650515000000,28.11,23.01,22.85,31.51,6.25,4.52,19.18,5.62,0.88,22.71,4.27,3.13,28.89,4.61,3.28,0
222650515000000,28.11,23.01,22.85,31.51,6.25,4.52,19.18,5.62,0.88,22.71,4.27,3.13,28.89,4.61,3.28,0
222650531000000,28.4,23.28,23.19,31.93,6.63,4.91,19.14,5.81,0.92,22.33,4.35,2.7,28.78,4.46,2.91,0
222650546000000,28.4,23.28,23.19,31.93,6.63,4.91,19.14,5.81,0.92,22.33,4.35,2.7,28.78,4.46,2.91,0
222650546000000,28.4,23.28,23.19,31.93,6.63,4.91,19.14,5.81,0.92,22.33,4.35,2.7,28.78,4.46,2.91,0
222650562000000,28.4,23.28,23.19,31.93,6.63,4.91,19.14,5.81,0.92,22.33,4.35,2.7,28.78,4.46,2.91,0
222650562000000,28.4,23.28,23.19,31.93,6.63,4.91,19.14,5.81,0.92,22.33,4.35,2.7,28.78,4.46,2.91,0
222650578000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650593000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650593000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650609000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650625000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650625000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650640000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650656000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650656000000,28.36,22.86,22.91,31.71,6.36,4.64,19.11,5.77,0.88,22.37,4.4,2.67,28.92,4.45,2.77,0
222650671000000,28.14,22.92,23.23,31.55,6.65,4.7,19.4,5.93,0.93,23.05,4.42,2.89,29.52,4.41,2.99,0
222650687000000,28.14,22.92,23.23,31.55,6.65,4.7,19.4,5.93,0.93,23.05,4.42,2.89,29.52,4.41,2.99,0
222650687000000,28.14,22.92,23.23,31.55,6.65,4.7,19.4,5.93,0.93,23.05,4.42,2.89,29.52,4.41,2.99,0
222650703000000,28.14,22.92,23.23,31.55,6.65,4.7,19.4,5.93,0.93,23.05,4.42,2.89,29.52,4.41,2.99,0
222650703000000,28.14,22.92,23.23,31.55,6.65,4.7,19.4,5.93,0.93,23.05,4.42,2.89,29.52,4.41,2.99,0
222650718000000,28.88,23.35,22.36,32.04,7.01,4.9,19.71,6.31,0.99,23.27,4.55,2.72,30.02,4.46,3.05,0
222650734000000,28.88,23.35,22.36,32.04,7.01,4.9,19.71,6.31,0.99,23.27,4.55,2.72,30.02,4.46,3.05,0
222650734000000,28.88,23.35,22.36,32.04,7.01,4.9,19.71,6.31,0.99,23.27,4.55,2.72,30.02,4.46,3.05,0
