t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222669515000000,0,PREP,P01,S01,pinkyMcpIso,39,641,496,422,514,PREP_START,1,0
222669515000000,1,PREP,P01,S01,pinkyMcpIso,39,642,502,421,521,,1,0
222669531000000,2,PREP,P01,S01,pinkyMcpIso,39,647,515,423,524,,1,0
222669546000000,3,PREP,P01,S01,pinkyMcpIso,39,651,523,423,525,,1,0
222669546000000,4,PREP,P01,S01,pinkyMcpIso,39,654,528,423,533,,1,0
222669562000000,5,PREP,P01,S01,pinkyMcpIso,39,659,537,425,536,,0,0
222669578000000,6,PREP,P01,S01,pinkyMcpIso,39,662,554,426,537,,0,0
222669578000000,7,PREP,P01,S01,pinkyMcpIso,39,666,567,426,545,,0,0
222669593000000,8,PREP,P01,S01,pinkyMcpIso,39,668,574,425,548,,0,0
222669593000000,9,PREP,P01,S01,pinkyMcpIso,39,672,582,425,546,,0,0
222669609000000,10,PREP,P01,S01,pinkyMcpIso,39,675,591,426,545,,0,0
222669625000000,11,PREP,P01,S01,pinkyMcpIso,39,679,595,424,546,,0,0
222669625000000,12,PREP,P01,S01,pinkyMcpIso,39,682,601,429,544,,0,0
222669640000000,13,PREP,P01,S01,pinkyMcpIso,39,687,604,430,547,,0,0
222669656000000,14,PREP,P01,S01,pinkyMcpIso,39,688,606,425,551,,0,0
222669656000000,15,PREP,P01,S01,pinkyMcpIso,39,691,613,424,555,,0,0
222669671000000,16,PREP,P01,S01,pinkyMcpIso,39,697,617,423,562,,0,0
222669687000000,17,PREP,P01,S01,pinkyMcpIso,39,699,620,426,566,,0,0
222669687000000,18,PREP,P01,S01,pinkyMcpIso,39,701,623,427,564,,0,0
222669703000000,19,PREP,P01,S01,pinkyMcpIso,39,703,623,423,567,,0,0
222669703000000,20,PREP,P01,S01,pinkyMcpIso,39,704,628,427,569,,0,0
222669718000000,21,PREP,P01,S01,pinkyMcpIso,39,706,629,428,573,,0,0
222669734000000,22,PREP,P01,S01,pinkyMcpIso,39,706,628,429,573,,0,0
222669734000000,23,PREP,P01,S01,pinkyMcpIso,39,708,627,428,573,,0,0
222669750000000,24,PREP,P01,S01,pinkyMcpIso,39,706,624,428,574,,0,0
222669765000000,25,PREP,P01,S01,pinkyMcpIso,39,704,617,416,564,,0,0
222669765000000,26,PREP,P01,S01,pinkyMcpIso,39,688,554,413,517,,0,0
222669781000000,27,PREP,P01,S01,pinkyMcpIso,39,666,566,409,473,,0,0
222669796000000,28,PREP,P01,S01,pinkyMcpIso,39,674,561,410,507,,0,0
222669796000000,29,PREP,P01,S01,pinkyMcpIso,39,680,552,420,535,,0,0
222669812000000,30,PREP,P01,S01,pinkyMcpIso,39,678,550,417,520,,0,0
222669828000000,31,PREP,P01,S01,pinkyMcpIso,39,679,552,417,514,,0,0
222669828000000,32,PREP,P01,S01,pinkyMcpIso,39,679,575,417,514,,0,0
222669843000000,33,PREP,P01,S01,pinkyMcpIso,39,684,585,418,518,,0,0
222669843000000,34,PREP,P01,S01,pinkyMcpIso,39,683,586,418,520,,0,0
222669859000000,35,PREP,P01,S01,pinkyMcpIso,39,680,584,418,515,,0,0
222669875000000,36,PREP,P01,S01,pinkyMcpIso,39,677,590,417,507,,0,0
222669875000000,37,PREP,P01,S01,pinkyMcpIso,39,679,592,415,498,,0,0
222669890000000,38,PREP,P01,S01,pinkyMcpIso,39,677,594,414,487,,0,0
222669906000000,39,PREP,P01,S01,pinkyMcpIso,39,677,594,407,483,,0,0
222669906000000,40,PREP,P01,S01,pinkyMcpIso,39,675,593,414,478,,0,0
222669921000000,41,PREP,P01,S01,pinkyMcpIso,39,674,590,414,478,,0,0
222669937000000,42,PREP,P01,S01,pinkyMcpIso,39,673,588,415,475,,0,0
222669937000000,43,PREP,P01,S01,pinkyMcpIso,39,672,588,414,467,,0,0
222669953000000,44,PREP,P01,S01,pinkyMcpIso,39,671,586,415,463,,0,0
222669953000000,45,PREP,P01,S01,pinkyMcpIso,39,671,581,413,458,,0,0
222669968000000,46,PREP,P01,S01,pinkyMcpIso,39,672,575,414,459,,0,0
222669984000000,47,PREP,P01,S01,pinkyMcpIso,39,671,573,413,447,,0,0
222669984000000,48,PREP,P01,S01,pinkyMcpIso,39,670,568,414,444,,0,0
222670000000000,49,PREP,P01,S01,pinkyMcpIso,39,671,566,412,448,,0,0
