t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222688515000000,26.83,28.22,32.19,29.47,7.13,4.05,19.92,7.26,0.92,26.36,4.97,2.52,32.79,5.44,3.76,0
222688531000000,26.83,28.22,32.19,29.47,7.13,4.05,19.92,7.26,0.92,26.36,4.97,2.52,32.79,5.44,3.76,0
222688546000000,26.83,28.22,32.19,29.47,7.13,4.05,19.92,7.26,0.92,26.36,4.97,2.52,32.79,5.44,3.76,0
222688546000000,26.83,28.22,32.19,29.47,7.13,4.05,19.92,7.26,0.92,26.36,4.97,2.52,32.79,5.44,3.76,0
222688562000000,27.27,28.29,32.14,30.1,7.49,3.65,20.32,8.0,1.15,26.28,5.99,3.34,32.72,5.97,4.61,0
222688562000000,27.27,28.29,32.14,30.1,7.49,3.65,20.32,8.0,1.15,26.28,5.99,3.34,32.72,5.97,4.61,0
222688578000000,27.27,28.29,32.14,30.1,7.49,3.65,20.32,8.0,1.15,26.28,5.99,3.34,32.72,5.97,4.61,0
222688593000000,27.27,28.29,32.14,30.1,7.49,3.65,20.32,8.0,1.15,26.28,5.99,3.34,32.72,5.97,4.61,0
222688593000000,27.27,28.29,32.14,30.1,7.49,3.65,20.32,8.0,1.15,26.28,5.99,3.34,32.72,5.97,4.61,0
222688609000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688625000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688625000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688640000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688656000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688656000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688671000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688687000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688687000000,27.29,28.37,31.99,30.08,7.28,3.86,20.24,7.66,0.96,26.35,5.49,2.61,32.92,5.58,3.93,0
222688703000000,27.22,28.3,30.75,30.15,7.29,4.22,20.14,7.61,1.28,26.31,5.78,2.83,33.15,5.92,4.09,0
222688703000000,27.22,28.3,30.75,30.15,7.29,4.22,20.14,7.61,1.28,26.31,5.78,2.83,33.15,5.92,4.09,0
222688718000000,27.22,28.3,30.75,30.15,7.29,4.22,20.14,7.61,1.28,26.31,5.78,2.83,33.15,5.92,4.09,0
222688734000000,27.22,28.3,30.75,30.15,7.29,4.22,20.14,7.61,1.28,26.31,5.78,2.83,33.15,5.92,4.09,0
222688734000000,27.22,28.3,30.75,30.15,7.29,4.22,20.14,7.61,1.28,26.31,5.78,2.83,33.15,5.92,4.09,0
222688750000000,27.01,28.27,30.5,30.16,7.25,4.07,20.15,7.86,1.35,26.43,6.02,2.92,33.36,6.13,4.3,0
222688765000000,27.01,28.27,30.5,30.16,7.25,4.07,20.15,7.86,1.35,26.43,6.02,2.92,33.36,6.13,4.3,0
222688765000000,27.01,28.27,30.5,30.16,7.25,4.07,20.15,7.86,1.35,26.43,6.02,2.92,33.36,6.13,4.3,0
222688781000000,27.01,28.27,30.5,30.16,7.25,4.07,20.15,7.86,1.35,26.43,6.02,2.92,33.36,6.13,4.3,0
222688796000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688796000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688812000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688828000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688828000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688843000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688843000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688859000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688875000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688875000000,27.03,28.35,30.65,30.26,7.43,3.99,20.01,7.86,1.54,26.15,6.05,3.52,33.1,6.23,4.97,0
222688890000000,26.71,28.12,30.57,29.74,7.26,3.82,19.67,7.62,1.75,26.1,5.83,4.01,33.24,6.05,5.25,0
222688906000000,26.71,28.12,30.57,29.74,7.26,3.82,19.67,7.62,1.75,26.1,5.83,4.01,33.24,6.05,5.25,0
222688906000000,26.71,28.12,30.57,29.74,7.26,3.82,19.67,7.62,1.75,26.1,5.83,4.01,33.24,6.05,5.25,0
222688921000000,26.71,28.12,30.57,29.74,7.26,3.82,19.67,7.62,1.75,26.1,5.83,4.01,33.24,6.05,5.25,0
222688937000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222688937000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222688953000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222688953000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222688968000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222688984000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222688984000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222689000000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222689015000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222689015000000,26.91,28.07,31.22,30.01,7.48,3.69,19.69,7.81,1.84,25.91,5.91,4.07,32.94,6.08,5.33,0
222689031000000,26.87,27.97,30.73,29.84,7.43,3.92,19.7,7.87,1.93,26.01,6.08,4.26,33.15,6.1,5.49,0
222689046000000,26.87,27.97,30.73,29.84,7.43,3.92,19.7,7.87,1.93,26.01,6.08,4.26,33.15,6.1,5.49,0
222689046000000,26.87,27.97,30.73,29.84,7.43,3.92,19.7,7.87,1.93,26.01,6.08,4.26,33.15,6.1,5.49,0
222689062000000,26.87,27.97,30.73,29.84,7.43,3.92,19.7,7.87,1.93,26.01,6.08,4.26,33.15,6.1,5.49,0
222689078000000,26.72,27.88,31.11,29.89,7.41,3.82,19.91,7.72,1.64,26.16,5.96,3.99,33.36,6.01,5.08,0
222689078000000,26.72,27.88,31.11,29.89,7.41,3.82,19.91,7.72,1.64,26.16,5.96,3.99,33.36,6.01,5.08,0
222689093000000,26.72,27.88,31.11,29.89,7.41,3.82,19.91,7.72,1.64,26.16,5.96,3.99,33.36,6.01,5.08,0
222689093000000,26.72,27.88,31.11,29.89,7.41,3.82,19.91,7.72,1.64,26.16,5.96,3.99,33.36,6.01,5.08,0
222689109000000,26.72,27.88,31.11,29.89,7.41,3.82,19.91,7.72,1.64,26.16,5.96,3.99,33.36,6.01,5.08,0
222689125000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689125000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689140000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689156000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689156000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689171000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689187000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689187000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689203000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689203000000,26.92,28.07,31.72,30.16,7.47,3.63,19.98,7.79,1.71,26.1,5.84,3.96,33.3,5.99,5.21,0
222689218000000,26.77,28.23,31.6,30.24,7.29,3.74,20.05,7.68,1.58,26.14,5.9,3.71,33.27,5.89,4.76,0
