t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222707546000000,0,PREP,P01,S01,pinkyPipIso,41,408,420,320,433,PREP_START,1,0
222707546000000,1,PREP,P01,S01,pinkyPipIso,41,409,420,319,432,,1,0
222707562000000,2,PREP,P01,S01,pinkyPipIso,41,409,418,321,433,,0,0
222707578000000,3,PREP,P01,S01,pinkyPipIso,41,409,418,321,433,,0,0
222707578000000,4,PREP,P01,S01,pinkyPipIso,41,409,418,321,431,,0,0
222707593000000,5,PREP,P01,S01,pinkyPipIso,41,409,418,321,431,,0,0
222707593000000,6,PREP,P01,S01,pinkyPipIso,41,409,418,321,429,,0,0
222707609000000,7,PREP,P01,S01,pinkyPipIso,41,409,418,320,428,,0,0
222707625000000,8,PREP,P01,S01,pinkyPipIso,41,407,418,321,429,,0,0
222707625000000,9,PREP,P01,S01,pinkyPipIso,41,408,418,320,428,,0,0
222707640000000,10,PREP,P01,S01,pinkyPipIso,41,408,419,321,428,,0,0
222707656000000,11,PREP,P01,S01,pinkyPipIso,41,407,418,319,427,,0,0
222707656000000,12,PREP,P01,S01,pinkyPipIso,41,407,419,321,429,,0,0
222707671000000,13,PREP,P01,S01,pinkyPipIso,41,408,418,321,428,,0,0
222707687000000,14,PREP,P01,S01,pinkyPipIso,41,406,417,321,429,,0,0
222707687000000,15,PREP,P01,S01,pinkyPipIso,41,406,417,321,429,,0,0
222707703000000,16,PREP,P01,S01,pinkyPipIso,41,405,415,320,428,,0,0
222707703000000,17,PREP,P01,S01,pinkyPipIso,41,406,417,321,429,,0,0
222707718000000,18,PREP,P01,S01,pinkyPipIso,41,405,416,321,429,,0,0
222707734000000,19,PREP,P01,S01,pinkyPipIso,41,405,418,321,428,,0,0
222707734000000,20,PREP,P01,S01,pinkyPipIso,41,404,417,321,428,,0,0
222707750000000,21,PREP,P01,S01,pinkyPipIso,41,403,416,321,430,,0,0
222707765000000,22,PREP,P01,S01,pinkyPipIso,41,404,417,321,428,,0,0
222707765000000,23,PREP,P01,S01,pinkyPipIso,41,403,418,321,428,,0,0
222707781000000,24,PREP,P01,S01,pinkyPipIso,41,404,418,321,428,,0,0
222707796000000,25,PREP,P01,S01,pinkyPipIso,41,404,417,321,428,,0,0
222707796000000,26,PREP,P01,S01,pinkyPipIso,41,402,416,321,429,,0,0
222707812000000,27,PREP,P01,S01,pinkyPipIso,41,403,417,321,430,,0,0
222707828000000,28,PREP,P01,S01,pinkyPipIso,41,403,418,321,429,,0,0
222707828000000,29,PREP,P01,S01,pinkyPipIso,41,404,419,321,428,,0,0
222707843000000,30,PREP,P01,S01,pinkyPipIso,41,404,418,321,429,,0,0
222707843000000,31,PREP,P01,S01,pinkyPipIso,41,402,417,321,429,,0,0
222707859000000,32,PREP,P01,S01,pinkyPipIso,41,402,415,321,429,,0,0
222707875000000,33,PREP,P01,S01,pinkyPipIso,41,402,417,321,430,,0,0
222707875000000,34,PREP,P01,S01,pinkyPipIso,41,402,417,321,429,,0,0
222707890000000,35,PREP,P01,S01,pinkyPipIso,41,402,417,320,430,,0,0
222707906000000,36,PREP,P01,S01,pinkyPipIso,41,402,418,320,428,,0,0
222707906000000,37,PREP,P01,S01,pinkyPipIso,41,402,416,321,430,,0,0
222707921000000,38,PREP,P01,S01,pinkyPipIso,41,402,416,319,429,,0,0
222707937000000,39,PREP,P01,S01,pinkyPipIso,41,402,418,321,429,,0,0
222707937000000,40,PREP,P01,S01,pinkyPipIso,41,402,416,321,430,,0,0
222707953000000,41,PREP,P01,S01,pinkyPipIso,41,402,418,321,429,,0,0
222707968000000,42,PREP,P01,S01,pinkyPipIso,41,403,419,320,429,,0,0
222707968000000,43,PREP,P01,S01,pinkyPipIso,41,403,416,321,430,,0,0
222707984000000,44,PREP,P01,S01,pinkyPipIso,41,404,420,322,430,,0,0
222707984000000,45,PREP,P01,S01,pinkyPipIso,41,403,422,322,430,,0,0
222708000000000,46,PREP,P01,S01,pinkyPipIso,41,402,421,321,430,,0,0
222708015000000,47,PREP,P01,S01,pinkyPipIso,41,404,423,322,430,,0,0
222708015000000,48,PREP,P01,S01,pinkyPipIso,41,404,422,321,428,,0,0
222708031000000,49,PREP,P01,S01,pinkyPipIso,41,404,421,320,428,,0,0
222708046000000,50,PREP,P01,S01,pinkyPipIso,41,404,423,321,426,,0,0
222708046000000,51,PREP,P01,S01,pinkyPipIso,41,403,422,320,426,,0,0
222708062000000,52,PREP,P01,S01,pinkyPipIso,41,404,422,321,426,,0,0
222708078000000,53,PREP,P01,S01,pinkyPipIso,41,404,421,321,427,,0,0
222708078000000,54,PREP,P01,S01,pinkyPipIso,41,405,423,322,427,,0,0
222708093000000,55,PREP,P01,S01,pinkyPipIso,41,405,424,322,427,,0,0
222708093000000,56,PREP,P01,S01,pinkyPipIso,41,404,423,322,428,,0,0
222708109000000,57,PREP,P01,S01,pinkyPipIso,41,405,423,322,428,,0,0
222708125000000,58,PREP,P01,S01,pinkyPipIso,41,405,422,322,428,,0,0
222708125000000,59,PREP,P01,S01,pinkyPipIso,41,405,418,321,429,,0,0
222708140000000,60,PREP,P01,S01,pinkyPipIso,41,405,416,322,429,,0,0
222708156000000,61,PREP,P01,S01,pinkyPipIso,41,406,419,321,428,,0,0
222708156000000,62,PREP,P01,S01,pinkyPipIso,41,405,419,321,429,,0,0
222708171000000,63,PREP,P01,S01,pinkyPipIso,41,405,419,321,429,,0,0
222708187000000,64,PREP,P01,S01,pinkyPipIso,41,406,418,322,430,,0,0
222708187000000,65,PREP,P01,S01,pinkyPipIso,41,405,417,322,430,,0,0
222708203000000,66,PREP,P01,S01,pinkyPipIso,41,406,416,321,429,,0,0
222708203000000,67,PREP,P01,S01,pinkyPipIso,41,406,412,321,430,,0,0
222708218000000,68,PREP,P01,S01,pinkyPipIso,41,406,413,322,430,,0,0
222708234000000,69,PREP,P01,S01,pinkyPipIso,41,405,411,321,430,,0,0
222708234000000,70,PREP,P01,S01,pinkyPipIso,41,405,410,322,430,,0,0
222708250000000,71,PREP,P01,S01,pinkyPipIso,41,404,407,321,431,,0,0
222708265000000,72,PREP,P01,S01,pinkyPipIso,41,405,408,321,431,,0,0
222708265000000,73,PREP,P01,S01,pinkyPipIso,41,405,409,322,430,,0,0
222708281000000,74,PREP,P01,S01,pinkyPipIso,41,406,408,322,431,,0,0
222708296000000,75,PREP,P01,S01,pinkyPipIso,41,405,409,321,431,,0,0
222708296000000,76,PREP,P01,S01,pinkyPipIso,41,405,407,320,430,,0,0
222708312000000,77,PREP,P01,S01,pinkyPipIso,41,405,408,320,429,,0,0
222708328000000,78,PREP,P01,S01,pinkyPipIso,41,405,407,320,426,,0,0
222708328000000,79,PREP,P01,S01,pinkyPipIso,41,406,407,320,426,,0,0
222708343000000,80,PREP,P01,S01,pinkyPipIso,41,406,407,320,425,,0,0
222708359000000,81,PREP,P01,S01,pinkyPipIso,41,405,405,320,427,,0,0
222708359000000,82,PREP,P01,S01,pinkyPipIso,41,406,406,320,428,,0,0
222708375000000,83,PREP,P01,S01,pinkyPipIso,41,405,406,320,428,,0,0
222708375000000,84,PREP,P01,S01,pinkyPipIso,41,406,407,320,425,,0,0
222708390000000,85,PREP,P01,S01,pinkyPipIso,41,405,407,320,424,,0,0
222708406000000,86,PREP,P01,S01,pinkyPipIso,41,405,406,318,423,,0,0
222708406000000,87,PREP,P01,S01,pinkyPipIso,41,405,406,319,424,,0,0
222708421000000,88,PREP,P01,S01,pinkyPipIso,41,406,404,320,424,,0,0
222708437000000,89,PREP,P01,S01,pinkyPipIso,41,406,401,319,423,,0,0
222708437000000,90,PREP,P01,S01,pinkyPipIso,41,405,399,318,422,,0,0
222708453000000,91,PREP,P01,S01,pinkyPipIso,41,404,395,318,420,,0,0
222708453000000,92,PREP,P01,S01,pinkyPipIso,41,403,393,314,418,,1,0
222708468000000,93,PREP,P01,S01,pinkyPipIso,41,402,391,313,417,,1,0
222708484000000,94,PREP,P01,S01,pinkyPipIso,41,401,386,312,416,,1,0
222708484000000,95,PREP,P01,S01,pinkyPipIso,41,401,385,311,416,,1,0
222708500000000,96,PREP,P01,S01,pinkyPipIso,41,401,385,311,414,,1,0
222708515000000,97,PREP,P01,S01,pinkyPipIso,41,401,384,312,415,,1,0
222708515000000,98,PREP,P01,S01,pinkyPipIso,41,401,384,313,414,,1,0
222708531000000,99,PREP,P01,S01,pinkyPipIso,41,400,383,311,414,,1,0
222708546000000,100,PREP,P01,S01,pinkyPipIso,41,401,384,312,414,,1,0
222708546000000,101,PREP,P01,S01,pinkyPipIso,41,401,382,312,415,,1,0
222708562000000,102,PREP,P01,S01,pinkyPipIso,41,402,386,314,417,,0,0
222708578000000,103,PREP,P01,S01,pinkyPipIso,41,404,387,315,417,,0,0
222708578000000,104,PREP,P01,S01,pinkyPipIso,41,403,387,315,417,,0,0
222708593000000,105,PREP,P01,S01,pinkyPipIso,41,403,387,315,417,,0,0
222708593000000,106,PREP,P01,S01,pinkyPipIso,41,402,387,314,416,,0,0
222708609000000,107,PREP,P01,S01,pinkyPipIso,41,403,388,314,417,,0,0
