t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222802609000000,0,PREP,P01,S01,powerGrip,46,221,370,254,389,PREP_START,0,0
222802609000000,1,PREP,P01,S01,powerGrip,46,221,371,256,389,,0,0
222802625000000,2,PREP,P01,S01,powerGrip,46,221,370,254,389,,0,0
222802625000000,3,PREP,P01,S01,powerGrip,46,221,371,254,388,,0,0
222802640000000,4,PREP,P01,S01,powerGrip,46,221,371,250,389,,0,0
222802656000000,5,PREP,P01,S01,powerGrip,46,220,371,253,390,,0,0
222802656000000,6,PREP,P01,S01,powerGrip,46,221,371,256,389,,0,0
222802671000000,7,PREP,P01,S01,powerGrip,46,221,372,252,389,,0,0
222802687000000,8,PREP,P01,S01,powerGrip,46,221,373,254,389,,0,0
222802687000000,9,PREP,P01,S01,powerGrip,46,221,372,261,389,,0,0
222802703000000,10,PREP,P01,S01,powerGrip,46,221,375,255,390,,0,0
222802718000000,11,PREP,P01,S01,powerGrip,46,221,375,255,390,,0,0
222802718000000,12,PREP,P01,S01,powerGrip,46,221,375,256,390,,0,0
222802734000000,13,PREP,P01,S01,powerGrip,46,221,375,257,390,,0,0
222802734000000,14,PREP,P01,S01,powerGrip,46,221,376,255,391,,0,0
222802750000000,15,PREP,P01,S01,powerGrip,46,221,376,255,391,,0,0
222802765000000,16,PREP,P01,S01,powerGrip,46,221,378,255,390,,0,0
222802765000000,17,PREP,P01,S01,powerGrip,46,221,379,258,378,,0,0
222802781000000,18,PREP,P01,S01,powerGrip,46,221,376,256,391,,0,0
222802796000000,19,PREP,P01,S01,powerGrip,46,221,379,255,390,,0,0
222802796000000,20,PREP,P01,S01,powerGrip,46,221,379,255,389,,0,0
222802812000000,21,PREP,P01,S01,powerGrip,46,221,380,254,388,,0,0
222802828000000,22,PREP,P01,S01,powerGrip,46,221,380,254,389,,0,0
222802828000000,23,PREP,P01,S01,powerGrip,46,221,379,256,388,,0,0
222802843000000,24,PREP,P01,S01,powerGrip,46,221,379,256,388,,0,0
222802859000000,25,PREP,P01,S01,powerGrip,46,221,379,255,384,,0,0
222802859000000,26,PREP,P01,S01,powerGrip,46,221,379,255,383,,0,0
222802875000000,27,PREP,P01,S01,powerGrip,46,221,377,254,382,,0,0
222802875000000,28,PREP,P01,S01,powerGrip,46,221,376,253,381,,0,0
222802890000000,29,PREP,P01,S01,powerGrip,46,221,377,250,378,,0,0
222802906000000,30,PREP,P01,S01,powerGrip,46,221,376,250,372,,0,0
222802906000000,31,PREP,P01,S01,powerGrip,46,221,376,248,359,,0,0
222802921000000,32,PREP,P01,S01,powerGrip,46,220,372,245,359,,0,0
222802937000000,33,PREP,P01,S01,powerGrip,46,219,371,243,362,,0,0
222802937000000,34,PREP,P01,S01,powerGrip,46,220,366,241,364,,0,0
222802953000000,35,PREP,P01,S01,powerGrip,46,220,365,239,366,,0,0
222802968000000,36,PREP,P01,S01,powerGrip,46,219,364,237,361,,0,0
222802968000000,37,PREP,P01,S01,powerGrip,46,218,364,237,361,,0,0
222802984000000,38,PREP,P01,S01,powerGrip,46,217,362,237,358,,0,0
222803000000000,39,PREP,P01,S01,powerGrip,46,215,352,234,352,,0,0
222803000000000,40,PREP,P01,S01,powerGrip,46,215,345,236,349,,0,0
222803015000000,41,PREP,P01,S01,powerGrip,46,213,344,236,350,,0,0
222803015000000,42,PREP,P01,S01,powerGrip,46,213,344,237,350,,0,0
222803031000000,43,PREP,P01,S01,powerGrip,46,213,346,237,350,,0,0
222803046000000,44,PREP,P01,S01,powerGrip,46,213,345,236,351,,0,0
222803046000000,45,PREP,P01,S01,powerGrip,46,213,345,236,351,,0,0
222803062000000,46,PREP,P01,S01,powerGrip,46,213,346,237,352,,0,0
222803078000000,47,PREP,P01,S01,powerGrip,46,212,345,238,352,,0,0
222803078000000,48,PREP,P01,S01,powerGrip,46,212,345,236,351,,0,0
222803093000000,49,PREP,P01,S01,powerGrip,46,211,345,236,351,,0,0
222803109000000,50,PREP,P01,S01,powerGrip,46,212,344,236,350,,0,0
222803109000000,51,PREP,P01,S01,powerGrip,46,211,344,236,350,,0,0
222803125000000,52,PREP,P01,S01,powerGrip,46,211,342,236,349,,0,0
222803125000000,53,PREP,P01,S01,powerGrip,46,211,343,236,350,,0,0
222803140000000,54,PREP,P01,S01,powerGrip,46,211,342,236,349,,0,0
222803156000000,55,PREP,P01,S01,powerGrip,46,211,342,236,350,,0,0
222803156000000,56,PREP,P01,S01,powerGrip,46,212,342,235,349,,0,0
222803171000000,57,PREP,P01,S01,powerGrip,46,210,341,236,350,,0,0
222803187000000,58,PREP,P01,S01,powerGrip,46,210,341,235,350,,0,0
222803187000000,59,PREP,P01,S01,powerGrip,46,210,341,236,350,,0,0
222803203000000,60,PREP,P01,S01,powerGrip,46,210,342,235,350,,0,0
222803218000000,61,PREP,P01,S01,powerGrip,46,210,342,236,351,,0,0
222803218000000,62,PREP,P01,S01,powerGrip,46,210,344,236,351,,0,0
222803234000000,63,PREP,P01,S01,powerGrip,46,210,345,236,353,,0,0
222803234000000,64,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803250000000,65,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803265000000,66,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803265000000,67,PREP,P01,S01,powerGrip,46,210,346,236,350,,0,0
222803281000000,68,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803296000000,69,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803296000000,70,PREP,P01,S01,powerGrip,46,210,344,236,350,,0,0
222803312000000,71,PREP,P01,S01,powerGrip,46,209,345,236,351,,0,0
222803328000000,72,PREP,P01,S01,powerGrip,46,210,344,236,351,,0,0
222803328000000,73,PREP,P01,S01,powerGrip,46,210,344,236,350,,0,0
222803343000000,74,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803359000000,75,PREP,P01,S01,powerGrip,46,209,345,236,351,,0,0
222803359000000,76,PREP,P01,S01,powerGrip,46,209,345,237,352,,0,0
222803375000000,77,PREP,P01,S01,powerGrip,46,207,345,237,351,,0,0
222803375000000,78,PREP,P01,S01,powerGrip,46,210,345,236,351,,0,0
222803390000000,79,PREP,P01,S01,powerGrip,46,209,345,236,351,,0,0
222803406000000,80,PREP,P01,S01,powerGrip,46,209,344,235,351,,0,0
222803406000000,81,PREP,P01,S01,powerGrip,46,209,345,236,351,,0,0
222803421000000,82,PREP,P01,S01,powerGrip,46,209,344,236,351,,0,0
222803437000000,83,PREP,P01,S01,powerGrip,46,209,345,236,351,,0,0
222803437000000,84,PREP,P01,S01,powerGrip,46,209,345,236,351,,0,0
222803453000000,85,PREP,P01,S01,powerGrip,46,208,345,236,352,,0,0
222803468000000,86,PREP,P01,S01,powerGrip,46,210,348,235,350,,1,0
222803468000000,87,PREP,P01,S01,powerGrip,46,207,343,234,349,,1,0
222803484000000,88,PREP,P01,S01,powerGrip,46,207,342,234,349,,1,0
222803484000000,89,PREP,P01,S01,powerGrip,46,207,344,236,350,,1,0
222803500000000,90,PREP,P01,S01,powerGrip,46,207,340,234,349,,1,0
222803515000000,91,PREP,P01,S01,powerGrip,46,207,340,235,349,,1,0
222803515000000,92,PREP,P01,S01,powerGrip,46,207,339,235,350,,1,0
222803531000000,93,PREP,P01,S01,powerGrip,46,207,339,241,351,,1,0
222803546000000,94,PREP,P01,S01,powerGrip,46,206,339,236,350,,1,0
222803546000000,95,PREP,P01,S01,powerGrip,46,206,340,234,349,,1,0
222803562000000,96,PREP,P01,S01,powerGrip,46,207,341,236,352,,0,0
222803578000000,97,PREP,P01,S01,powerGrip,46,207,342,236,352,,0,0
222803578000000,98,PREP,P01,S01,powerGrip,46,206,341,236,350,,0,0
222803593000000,99,PREP,P01,S01,powerGrip,46,206,342,237,352,,0,0
222803593000000,100,PREP,P01,S01,powerGrip,46,206,341,236,351,,0,0
222803609000000,101,PREP,P01,S01,powerGrip,46,206,341,236,351,,0,0
222803625000000,102,PREP,P01,S01,powerGrip,46,206,340,236,345,,0,0
222803625000000,103,PREP,P01,S01,powerGrip,46,206,344,237,350,,0,0
