t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222802609000000,27.08,28.05,28.89,26.42,11.9,3.29,24.63,8.47,3.75,28.74,5.1,11.31,16.36,21.9,28.69,0
222802609000000,27.08,28.05,28.89,26.42,11.9,3.29,24.63,8.47,3.75,28.74,5.1,11.31,16.36,21.9,28.69,0
222802625000000,27.08,28.05,28.89,26.42,11.9,3.29,24.63,8.47,3.75,28.74,5.1,11.31,16.36,21.9,28.69,0
222802625000000,27.08,28.05,28.89,26.42,11.9,3.29,24.63,8.47,3.75,28.74,5.1,11.31,16.36,21.9,28.69,0
222802640000000,27.08,28.05,28.89,26.42,11.9,3.29,24.63,8.47,3.75,28.74,5.1,11.31,16.36,21.9,28.69,0
222802656000000,27.44,28.09,29.08,27.2,12.52,3.53,25.12,9.0,3.74,29.01,5.58,11.37,16.59,23.64,29.29,0
222802656000000,27.44,28.09,29.08,27.2,12.52,3.53,25.12,9.0,3.74,29.01,5.58,11.37,16.59,23.64,29.29,0
222802671000000,27.44,28.09,29.08,27.2,12.52,3.53,25.12,9.0,3.74,29.01,5.58,11.37,16.59,23.64,29.29,0
222802687000000,27.44,28.09,29.08,27.2,12.52,3.53,25.12,9.0,3.74,29.01,5.58,11.37,16.59,23.64,29.29,0
222802687000000,27.44,28.09,29.08,27.2,12.52,3.53,25.12,9.0,3.74,29.01,5.58,11.37,16.59,23.64,29.29,0
222802703000000,27.83,28.08,29.31,27.0,12.34,3.21,25.06,8.69,3.41,28.96,4.99,10.99,17.25,23.85,30.82,0
222802718000000,27.83,28.08,29.31,27.0,12.34,3.21,25.06,8.69,3.41,28.96,4.99,10.99,17.25,23.85,30.82,0
222802718000000,27.83,28.08,29.31,27.0,12.34,3.21,25.06,8.69,3.41,28.96,4.99,10.99,17.25,23.85,30.82,0
222802734000000,27.83,28.08,29.31,27.0,12.34,3.21,25.06,8.69,3.41,28.96,4.99,10.99,17.25,23.85,30.82,0
222802734000000,27.83,28.08,29.31,27.0,12.34,3.21,25.06,8.69,3.41,28.96,4.99,10.99,17.25,23.85,30.82,0
222802750000000,27.56,28.16,29.68,27.19,12.37,2.91,25.26,8.94,3.02,29.04,5.54,10.86,17.87,24.89,30.96,0
222802765000000,27.56,28.16,29.68,27.19,12.37,2.91,25.26,8.94,3.02,29.04,5.54,10.86,17.87,24.89,30.96,0
222802765000000,27.56,28.16,29.68,27.19,12.37,2.91,25.26,8.94,3.02,29.04,5.54,10.86,17.87,24.89,30.96,0
222802781000000,27.56,28.16,29.68,27.19,12.37,2.91,25.26,8.94,3.02,29.04,5.54,10.86,17.87,24.89,30.96,0
222802796000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802796000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802812000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802828000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802828000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802843000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802859000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802859000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802875000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802875000000,27.8,27.98,29.16,26.74,12.22,3.47,24.85,8.65,3.52,28.73,5.17,11.29,16.64,24.98,30.67,0
222802890000000,27.8,28.19,29.04,26.59,12.12,3.33,24.64,8.64,3.22,28.77,5.04,10.93,17.49,24.32,30.9,0
222802906000000,27.8,28.19,29.04,26.59,12.12,3.33,24.64,8.64,3.22,28.77,5.04,10.93,17.49,24.32,30.9,0
222802906000000,27.8,28.19,29.04,26.59,12.12,3.33,24.64,8.64,3.22,28.77,5.04,10.93,17.49,24.32,30.9,0
222802921000000,27.8,28.19,29.04,26.59,12.12,3.33,24.64,8.64,3.22,28.77,5.04,10.93,17.49,24.32,30.9,0
222802937000000,27.59,28.07,28.86,26.62,12.38,3.5,24.62,8.8,3.41,28.57,5.52,11.02,17.06,25.21,30.17,0
222802937000000,27.59,28.07,28.86,26.62,12.38,3.5,24.62,8.8,3.41,28.57,5.52,11.02,17.06,25.21,30.17,0
222802953000000,27.59,28.07,28.86,26.62,12.38,3.5,24.62,8.8,3.41,28.57,5.52,11.02,17.06,25.21,30.17,0
