t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222593484000000,29.25,24.7,26.03,35.7,9.13,3.56,27.24,11.7,1.67,29.6,26.14,52.03,28.78,14.79,13.91,0
222593500000000,29.25,24.7,26.03,35.7,9.13,3.56,27.24,11.7,1.67,29.6,26.14,52.03,28.78,14.79,13.91,0
222593515000000,29.25,24.7,26.03,35.7,9.13,3.56,27.24,11.7,1.67,29.6,26.14,52.03,28.78,14.79,13.91,0
222593515000000,29.25,24.7,26.03,35.7,9.13,3.56,27.24,11.7,1.67,29.6,26.14,52.03,28.78,14.79,13.91,0
222593531000000,29.74,24.82,25.95,35.43,9.27,4.05,26.8,11.28,2.01,29.67,15.97,18.55,30.12,11.07,9.21,0
222593546000000,29.74,24.82,25.95,35.43,9.27,4.05,26.8,11.28,2.01,29.67,15.97,18.55,30.12,11.07,9.21,0
222593546000000,29.74,24.82,25.95,35.43,9.27,4.05,26.8,11.28,2.01,29.67,15.97,18.55,30.12,11.07,9.21,0
222593562000000,29.74,24.82,25.95,35.43,9.27,4.05,26.8,11.28,2.01,29.67,15.97,18.55,30.12,11.07,9.21,0
222593562000000,29.74,24.82,25.95,35.43,9.27,4.05,26.8,11.28,2.01,29.67,15.97,18.55,30.12,11.07,9.21,0
222593578000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593593000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593593000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593609000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593625000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593625000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593640000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593656000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593656000000,30.08,25.36,25.21,33.8,7.21,4.3,23.06,8.4,1.95,27.04,8.03,3.8,30.17,6.85,4.87,0
222593671000000,30.96,25.12,25.35,34.21,7.11,4.27,23.8,8.08,2.0,27.6,6.19,3.01,30.46,5.7,5.36,0
222593687000000,30.96,25.12,25.35,34.21,7.11,4.27,23.8,8.08,2.0,27.6,6.19,3.01,30.46,5.7,5.36,0
222593687000000,30.96,25.12,25.35,34.21,7.11,4.27,23.8,8.08,2.0,27.6,6.19,3.01,30.46,5.7,5.36,0
222593703000000,30.96,25.12,25.35,34.21,7.11,4.27,23.8,8.08,2.0,27.6,6.19,3.01,30.46,5.7,5.36,0
222593703000000,30.96,25.12,25.35,34.21,7.11,4.27,23.8,8.08,2.0,27.6,6.19,3.01,30.46,5.7,5.36,0
222593718000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593734000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593734000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593750000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593765000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593765000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593781000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593796000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593796000000,30.34,25.59,26.0,34.45,7.11,3.95,23.4,7.95,1.81,27.03,6.13,3.25,30.05,5.47,5.38,0
222593812000000,30.93,25.81,26.7,35.65,7.09,3.9,24.78,8.07,1.77,27.68,5.45,2.16,30.15,4.5,3.66,0
222593812000000,30.93,25.81,26.7,35.65,7.09,3.9,24.78,8.07,1.77,27.68,5.45,2.16,30.15,4.5,3.66,0
222593828000000,30.93,25.81,26.7,35.65,7.09,3.9,24.78,8.07,1.77,27.68,5.45,2.16,30.15,4.5,3.66,0
222593843000000,30.93,25.81,26.7,35.65,7.09,3.9,24.78,8.07,1.77,27.68,5.45,2.16,30.15,4.5,3.66,0
222593843000000,30.93,25.81,26.7,35.65,7.09,3.9,24.78,8.07,1.77,27.68,5.45,2.16,30.15,4.5,3.66,0
222593859000000,32.66,25.31,24.06,34.24,7.4,3.87,24.0,7.77,1.64,27.2,4.99,2.48,29.91,4.12,3.91,0
222593875000000,32.66,25.31,24.06,34.24,7.4,3.87,24.0,7.77,1.64,27.2,4.99,2.48,29.91,4.12,3.91,0
222593875000000,32.66,25.31,24.06,34.24,7.4,3.87,24.0,7.77,1.64,27.2,4.99,2.48,29.91,4.12,3.91,0
222593890000000,32.66,25.31,24.06,34.24,7.4,3.87,24.0,7.77,1.64,27.2,4.99,2.48,29.91,4.12,3.91,0
222593906000000,32.07,25.29,24.66,33.72,7.31,3.84,23.27,7.75,1.54,26.32,4.89,2.09,28.75,3.69,3.18,0
222593906000000,32.07,25.29,24.66,33.72,7.31,3.84,23.27,7.75,1.54,26.32,4.89,2.09,28.75,3.69,3.18,0
