t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222612484000000,0,PREP,P01,S01,ringDipIso,36,599,435,325,441,PREP_START,1,0
222612500000000,1,PREP,P01,S01,ringDipIso,36,600,435,325,437,,1,0
222612515000000,2,PREP,P01,S01,ringDipIso,36,600,434,325,437,,1,0
222612515000000,3,PREP,P01,S01,ringDipIso,36,605,430,324,437,,1,0
222612531000000,4,PREP,P01,S01,ringDipIso,36,608,435,325,441,,1,0
222612546000000,5,PREP,P01,S01,ringDipIso,36,604,434,324,437,,1,0
222612546000000,6,PREP,P01,S01,ringDipIso,36,602,435,312,438,,1,0
222612562000000,7,PREP,P01,S01,ringDipIso,36,604,438,326,439,,0,0
222612562000000,8,PREP,P01,S01,ringDipIso,36,604,435,325,441,,0,0
222612578000000,9,PREP,P01,S01,ringDipIso,36,605,436,325,440,,0,0
222612593000000,10,PREP,P01,S01,ringDipIso,36,604,437,327,440,,0,0
222612593000000,11,PREP,P01,S01,ringDipIso,36,604,437,327,440,,0,0
222612609000000,12,PREP,P01,S01,ringDipIso,36,604,438,328,438,,0,0
222612625000000,13,PREP,P01,S01,ringDipIso,36,600,437,327,440,,0,0
222612625000000,14,PREP,P01,S01,ringDipIso,36,605,439,327,439,,0,0
222612640000000,15,PREP,P01,S01,ringDipIso,36,605,437,327,439,,0,0
222612656000000,16,PREP,P01,S01,ringDipIso,36,605,439,327,438,,0,0
222612656000000,17,PREP,P01,S01,ringDipIso,36,605,438,327,439,,0,0
222612671000000,18,PREP,P01,S01,ringDipIso,36,604,438,328,439,,0,0
222612687000000,19,PREP,P01,S01,ringDipIso,36,604,437,327,440,,0,0
222612687000000,20,PREP,P01,S01,ringDipIso,36,605,441,324,440,,0,0
222612703000000,21,PREP,P01,S01,ringDipIso,36,606,438,328,440,,0,0
222612703000000,22,PREP,P01,S01,ringDipIso,36,607,438,328,440,,0,0
222612718000000,23,PREP,P01,S01,ringDipIso,36,606,437,327,435,,0,0
222612734000000,24,PREP,P01,S01,ringDipIso,36,608,436,328,439,,0,0
222612734000000,25,PREP,P01,S01,ringDipIso,36,609,437,328,438,,0,0
222612750000000,26,PREP,P01,S01,ringDipIso,36,608,438,331,439,,0,0
222612765000000,27,PREP,P01,S01,ringDipIso,36,609,437,328,442,,0,0
222612765000000,28,PREP,P01,S01,ringDipIso,36,609,439,327,438,,0,0
222612781000000,29,PREP,P01,S01,ringDipIso,36,608,437,328,440,,0,0
222612796000000,30,PREP,P01,S01,ringDipIso,36,609,438,329,441,,0,0
222612796000000,31,PREP,P01,S01,ringDipIso,36,608,439,328,441,,0,0
222612812000000,32,PREP,P01,S01,ringDipIso,36,608,439,330,440,,0,0
222612812000000,33,PREP,P01,S01,ringDipIso,36,609,438,328,440,,0,0
222612828000000,34,PREP,P01,S01,ringDipIso,36,609,439,328,438,,0,0
222612843000000,35,PREP,P01,S01,ringDipIso,36,608,438,328,434,,0,0
222612843000000,36,PREP,P01,S01,ringDipIso,36,609,439,328,441,,0,0
222612859000000,37,PREP,P01,S01,ringDipIso,36,608,438,328,440,,0,0
222612875000000,38,PREP,P01,S01,ringDipIso,36,608,437,328,440,,0,0
222612875000000,39,PREP,P01,S01,ringDipIso,36,608,439,329,439,,0,0
222612890000000,40,PREP,P01,S01,ringDipIso,36,610,432,329,440,,0,0
222612906000000,41,PREP,P01,S01,ringDipIso,36,609,438,328,440,,0,0
222612906000000,42,PREP,P01,S01,ringDipIso,36,611,438,327,440,,0,0
222612921000000,43,PREP,P01,S01,ringDipIso,36,608,437,327,440,,0,0
222612937000000,44,PREP,P01,S01,ringDipIso,36,611,438,328,440,,0,0
222612937000000,45,PREP,P01,S01,ringDipIso,36,609,437,327,441,,0,0
222612953000000,46,PREP,P01,S01,ringDipIso,36,607,442,327,440,,0,0
222612953000000,47,PREP,P01,S01,ringDipIso,36,609,438,328,441,,0,0
222612968000000,48,PREP,P01,S01,ringDipIso,36,610,439,329,440,,0,0
222612984000000,49,PREP,P01,S01,ringDipIso,36,610,438,327,441,,0,0
222612984000000,50,PREP,P01,S01,ringDipIso,36,611,439,328,441,,0,0
222613000000000,51,PREP,P01,S01,ringDipIso,36,611,438,326,439,,0,0
222613015000000,52,PREP,P01,S01,ringDipIso,36,617,439,327,439,,0,0
