t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222460484000000,0,PREP,P01,S01,ringMcpIso,28,358,455,266,500,PREP_START,1,0
222460500000000,1,PREP,P01,S01,ringMcpIso,28,355,455,266,500,,1,0
222460500000000,2,PREP,P01,S01,ringMcpIso,28,352,460,266,501,,1,0
222460515000000,3,PREP,P01,S01,ringMcpIso,28,356,455,266,501,,1,0
222460531000000,4,PREP,P01,S01,ringMcpIso,28,353,454,266,499,,1,0
222460546000000,5,PREP,P01,S01,ringMcpIso,28,353,454,260,497,,1,0
222460546000000,6,PREP,P01,S01,ringMcpIso,28,355,454,266,500,,1,0
222460562000000,7,PREP,P01,S01,ringMcpIso,28,356,458,267,502,,0,0
222460562000000,8,PREP,P01,S01,ringMcpIso,28,357,456,267,503,,0,0
222460578000000,9,PREP,P01,S01,ringMcpIso,28,356,456,267,504,,0,0
222460593000000,10,PREP,P01,S01,ringMcpIso,28,355,457,268,503,,0,0
222460593000000,11,PREP,P01,S01,ringMcpIso,28,356,456,260,502,,0,0
222460609000000,12,PREP,P01,S01,ringMcpIso,28,356,456,266,502,,0,0
222460625000000,13,PREP,P01,S01,ringMcpIso,28,356,457,266,502,,0,0
222460625000000,14,PREP,P01,S01,ringMcpIso,28,354,457,266,503,,0,0
222460640000000,15,PREP,P01,S01,ringMcpIso,28,357,464,267,502,,0,0
222460640000000,16,PREP,P01,S01,ringMcpIso,28,354,457,267,502,,0,0
222460656000000,17,PREP,P01,S01,ringMcpIso,28,361,458,269,505,,0,0
222460671000000,18,PREP,P01,S01,ringMcpIso,28,355,457,266,502,,0,0
222460671000000,19,PREP,P01,S01,ringMcpIso,28,356,457,266,503,,0,0
222460687000000,20,PREP,P01,S01,ringMcpIso,28,355,457,267,502,,0,0
222460703000000,21,PREP,P01,S01,ringMcpIso,28,351,457,266,506,,0,0
222460703000000,22,PREP,P01,S01,ringMcpIso,28,355,457,266,502,,0,0
222460718000000,23,PREP,P01,S01,ringMcpIso,28,354,456,266,502,,0,0
222460734000000,24,PREP,P01,S01,ringMcpIso,28,353,457,267,500,,0,0
222460734000000,25,PREP,P01,S01,ringMcpIso,28,356,457,265,499,,0,0
222460750000000,26,PREP,P01,S01,ringMcpIso,28,353,456,265,502,,0,0
222460765000000,27,PREP,P01,S01,ringMcpIso,28,350,457,267,501,,0,0
222460765000000,28,PREP,P01,S01,ringMcpIso,28,348,458,266,501,,0,0
