t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222498484000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498500000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498515000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498515000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498531000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498531000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498546000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498562000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498562000000,30.25,24.11,22.61,26.47,5.99,3.05,17.86,6.15,1.16,23.15,3.82,2.94,29.76,4.29,2.93,0
222498578000000,30.24,24.05,23.06,26.32,5.95,2.96,17.57,6.13,1.18,22.92,3.75,3.04,29.62,4.26,3.08,0
222498593000000,30.24,24.05,23.06,26.32,5.95,2.96,17.57,6.13,1.18,22.92,3.75,3.04,29.62,4.26,3.08,0
222498593000000,30.24,24.05,23.06,26.32,5.95,2.96,17.57,6.13,1.18,22.92,3.75,3.04,29.62,4.26,3.08,0
222498609000000,30.24,24.05,23.06,26.32,5.95,2.96,17.57,6.13,1.18,22.92,3.75,3.04,29.62,4.26,3.08,0
222498625000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498625000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498640000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498656000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498656000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498671000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498671000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498687000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498703000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498703000000,30.21,24.03,23.11,26.52,6.12,2.99,17.93,6.33,1.21,23.27,3.98,3.08,30.06,4.38,3.03,0
222498718000000,29.51,24.44,22.66,26.65,5.62,2.87,17.51,5.82,0.77,22.64,3.61,2.77,29.11,4.19,2.82,0
222498734000000,29.51,24.44,22.66,26.65,5.62,2.87,17.51,5.82,0.77,22.64,3.61,2.77,29.11,4.19,2.82,0
222498734000000,29.51,24.44,22.66,26.65,5.62,2.87,17.51,5.82,0.77,22.64,3.61,2.77,29.11,4.19,2.82,0
222498750000000,29.51,24.44,22.66,26.65,5.62,2.87,17.51,5.82,0.77,22.64,3.61,2.77,29.11,4.19,2.82,0
222498765000000,30.11,24.11,22.98,27.06,6.02,2.87,18.12,6.12,1.18,22.73,3.78,3.02,28.99,4.2,2.94,0
222498765000000,30.11,24.11,22.98,27.06,6.02,2.87,18.12,6.12,1.18,22.73,3.78,3.02,28.99,4.2,2.94,0
222498781000000,30.11,24.11,22.98,27.06,6.02,2.87,18.12,6.12,1.18,22.73,3.78,3.02,28.99,4.2,2.94,0
222498781000000,30.11,24.11,22.98,27.06,6.02,2.87,18.12,6.12,1.18,22.73,3.78,3.02,28.99,4.2,2.94,0
222498796000000,30.11,24.11,22.98,27.06,6.02,2.87,18.12,6.12,1.18,22.73,3.78,3.02,28.99,4.2,2.94,0
222498812000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498812000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498828000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498843000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498843000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498859000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498875000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498875000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498890000000,30.29,24.07,23.43,27.5,5.96,2.85,18.05,6.08,1.22,22.41,3.76,2.88,28.86,4.21,2.81,0
222498906000000,30.32,24.24,24.1,27.65,5.94,2.84,18.36,5.89,1.15,23.02,3.61,2.64,29.29,4.17,2.62,0
222498906000000,30.32,24.24,24.1,27.65,5.94,2.84,18.36,5.89,1.15,23.02,3.61,2.64,29.29,4.17,2.62,0
222498921000000,30.32,24.24,24.1,27.65,5.94,2.84,18.36,5.89,1.15,23.02,3.61,2.64,29.29,4.17,2.62,0
222498921000000,30.32,24.24,24.1,27.65,5.94,2.84,18.36,5.89,1.15,23.02,3.61,2.64,29.29,4.17,2.62,0
222498937000000,30.32,24.24,24.1,27.65,5.94,2.84,18.36,5.89,1.15,23.02,3.61,2.64,29.29,4.17,2.62,0
222498953000000,30.36,24.26,24.1,27.26,5.95,2.78,18.01,6.0,1.15,22.69,3.77,2.69,29.18,4.21,2.65,0
222498953000000,30.36,24.26,24.1,27.26,5.95,2.78,18.01,6.0,1.15,22.69,3.77,2.69,29.18,4.21,2.65,0
222498968000000,30.36,24.26,24.1,27.26,5.95,2.78,18.01,6.0,1.15,22.69,3.77,2.69,29.18,4.21,2.65,0
222498984000000,30.36,24.26,24.1,27.26,5.95,2.78,18.01,6.0,1.15,22.69,3.77,2.69,29.18,4.21,2.65,0
222498984000000,30.36,24.26,24.1,27.26,5.95,2.78,18.01,6.0,1.15,22.69,3.77,2.69,29.18,4.21,2.65,0
222499000000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499015000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499015000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499031000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499031000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499046000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499062000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499062000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499078000000,30.39,24.32,24.28,27.22,5.97,2.77,18.08,5.88,1.08,22.95,3.57,2.62,29.31,4.07,2.6,0
222499093000000,30.46,23.99,24.5,26.5,5.75,2.63,17.84,5.65,0.9,23.22,3.35,2.47,29.38,3.94,2.61,0
222499093000000,30.46,23.99,24.5,26.5,5.75,2.63,17.84,5.65,0.9,23.22,3.35,2.47,29.38,3.94,2.61,0
222499109000000,30.46,23.99,24.5,26.5,5.75,2.63,17.84,5.65,0.9,23.22,3.35,2.47,29.38,3.94,2.61,0
222499125000000,30.46,23.99,24.5,26.5,5.75,2.63,17.84,5.65,0.9,23.22,3.35,2.47,29.38,3.94,2.61,0
222499125000000,30.46,23.99,24.5,26.5,5.75,2.63,17.84,5.65,0.9,23.22,3.35,2.47,29.38,3.94,2.61,0
222499140000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499140000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499156000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499171000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499171000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499187000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499203000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499203000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499218000000,30.68,24.2,24.96,27.31,6.33,2.86,18.51,6.45,1.13,23.69,4.09,2.69,30.1,4.32,2.76,0
222499234000000,30.89,23.85,24.04,26.91,6.23,2.88,18.01,6.34,1.23,23.03,3.96,2.69,29.56,4.15,2.81,0
222499234000000,30.89,23.85,24.04,26.91,6.23,2.88,18.01,6.34,1.23,23.03,3.96,2.69,29.56,4.15,2.81,0
222499250000000,30.89,23.85,24.04,26.91,6.23,2.88,18.01,6.34,1.23,23.03,3.96,2.69,29.56,4.15,2.81,0
222499265000000,30.89,23.85,24.04,26.91,6.23,2.88,18.01,6.34,1.23,23.03,3.96,2.69,29.56,4.15,2.81,0
222499265000000,30.89,23.85,24.04,26.91,6.23,2.88,18.01,6.34,1.23,23.03,3.96,2.69,29.56,4.15,2.81,0
222499281000000,30.17,23.84,24.45,26.97,6.33,3.0,17.97,6.5,1.15,23.19,4.17,2.65,29.74,4.38,2.81,0
222499296000000,30.17,23.84,24.45,26.97,6.33,3.0,17.97,6.5,1.15,23.19,4.17,2.65,29.74,4.38,2.81,0
222499296000000,30.17,23.84,24.45,26.97,6.33,3.0,17.97,6.5,1.15,23.19,4.17,2.65,29.74,4.38,2.81,0
