t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222536484000000,0,PREP,P01,S01,ringPipIso,32,624,575,413,453,PREP_START,1,0
222536500000000,1,PREP,P01,S01,ringPipIso,32,625,575,413,452,,1,0
222536515000000,2,PREP,P01,S01,ringPipIso,32,625,573,414,451,,1,0
222536515000000,3,PREP,P01,S01,ringPipIso,32,626,573,414,451,,1,0
222536531000000,4,PREP,P01,S01,ringPipIso,32,624,575,412,447,,1,0
222536531000000,5,PREP,P01,S01,ringPipIso,32,626,573,413,448,,1,0
222536546000000,6,PREP,P01,S01,ringPipIso,32,626,571,413,450,,1,0
222536562000000,7,PREP,P01,S01,ringPipIso,32,629,573,416,451,,0,0
222536562000000,8,PREP,P01,S01,ringPipIso,32,630,572,413,449,,0,0
222536578000000,9,PREP,P01,S01,ringPipIso,32,632,574,417,451,,0,0
222536593000000,10,PREP,P01,S01,ringPipIso,32,634,573,417,452,,0,0
222536593000000,11,PREP,P01,S01,ringPipIso,32,633,575,415,451,,0,0
222536609000000,12,PREP,P01,S01,ringPipIso,32,634,576,418,450,,0,0
222536625000000,13,PREP,P01,S01,ringPipIso,32,637,575,419,454,,0,0
222536625000000,14,PREP,P01,S01,ringPipIso,32,636,578,420,455,,0,0
222536640000000,15,PREP,P01,S01,ringPipIso,32,636,580,421,452,,0,0
222536656000000,16,PREP,P01,S01,ringPipIso,32,637,578,418,454,,0,0
222536656000000,17,PREP,P01,S01,ringPipIso,32,638,579,420,454,,0,0
222536671000000,18,PREP,P01,S01,ringPipIso,32,638,580,425,455,,0,0
222536671000000,19,PREP,P01,S01,ringPipIso,32,640,580,420,462,,0,0
222536687000000,20,PREP,P01,S01,ringPipIso,32,639,581,420,461,,0,0
222536703000000,21,PREP,P01,S01,ringPipIso,32,638,584,418,461,,0,0
222536703000000,22,PREP,P01,S01,ringPipIso,32,638,583,423,468,,0,0
222536718000000,23,PREP,P01,S01,ringPipIso,32,639,583,421,462,,0,0
222536734000000,24,PREP,P01,S01,ringPipIso,32,638,580,421,463,,0,0
222536734000000,25,PREP,P01,S01,ringPipIso,32,637,579,421,467,,0,0
222536750000000,26,PREP,P01,S01,ringPipIso,32,636,577,422,465,,0,0
222536765000000,27,PREP,P01,S01,ringPipIso,32,637,575,422,468,,0,0
222536765000000,28,PREP,P01,S01,ringPipIso,32,638,578,421,467,,0,0
222536781000000,29,PREP,P01,S01,ringPipIso,32,637,579,421,466,,0,0
222536796000000,30,PREP,P01,S01,ringPipIso,32,636,579,421,467,,0,0
222536796000000,31,PREP,P01,S01,ringPipIso,32,636,579,422,469,,0,0
222536812000000,32,PREP,P01,S01,ringPipIso,32,633,580,422,467,,0,0
222536812000000,33,PREP,P01,S01,ringPipIso,32,632,580,421,467,,0,0
222536828000000,34,PREP,P01,S01,ringPipIso,32,634,580,421,460,,0,0
222536843000000,35,PREP,P01,S01,ringPipIso,32,632,576,420,464,,0,0
222536843000000,36,PREP,P01,S01,ringPipIso,32,630,574,420,466,,0,0
222536859000000,37,PREP,P01,S01,ringPipIso,32,633,558,418,463,,0,0
222536875000000,38,PREP,P01,S01,ringPipIso,32,629,553,417,459,,0,0
222536875000000,39,PREP,P01,S01,ringPipIso,32,621,550,416,457,,0,0
222536890000000,40,PREP,P01,S01,ringPipIso,32,621,545,415,452,,0,0
222536906000000,41,PREP,P01,S01,ringPipIso,32,615,546,415,454,,0,0
222536906000000,42,PREP,P01,S01,ringPipIso,32,610,540,411,453,,0,0
222536921000000,43,PREP,P01,S01,ringPipIso,32,605,538,415,454,,0,0
222536921000000,44,PREP,P01,S01,ringPipIso,32,604,531,412,451,,0,0
222536937000000,45,PREP,P01,S01,ringPipIso,32,602,527,414,449,,0,0
222536953000000,46,PREP,P01,S01,ringPipIso,32,602,527,415,451,,0,0
222536953000000,47,PREP,P01,S01,ringPipIso,32,599,524,415,453,,0,0
222536968000000,48,PREP,P01,S01,ringPipIso,32,600,517,416,451,,0,0
222536984000000,49,PREP,P01,S01,ringPipIso,32,598,517,414,452,,0,0
222536984000000,50,PREP,P01,S01,ringPipIso,32,596,515,413,452,,0,0
222537000000000,51,PREP,P01,S01,ringPipIso,32,594,516,416,457,,0,0
222537015000000,52,PREP,P01,S01,ringPipIso,32,599,513,417,454,,0,0
222537015000000,53,PREP,P01,S01,ringPipIso,32,598,514,423,466,,0,0
222537031000000,54,PREP,P01,S01,ringPipIso,32,596,514,422,467,,0,0
222537046000000,55,PREP,P01,S01,ringPipIso,32,595,514,421,468,,0,0
222537046000000,56,PREP,P01,S01,ringPipIso,32,591,515,424,473,,0,0
222537062000000,57,PREP,P01,S01,ringPipIso,32,591,516,423,467,,0,0
222537062000000,58,PREP,P01,S01,ringPipIso,32,591,516,422,470,,0,0
222537078000000,59,PREP,P01,S01,ringPipIso,32,592,518,423,470,,0,0
222537093000000,60,PREP,P01,S01,ringPipIso,32,591,517,423,469,,0,0
222537093000000,61,PREP,P01,S01,ringPipIso,32,589,516,426,468,,0,0
222537109000000,62,PREP,P01,S01,ringPipIso,32,588,517,426,472,,0,0
222537125000000,63,PREP,P01,S01,ringPipIso,32,591,517,423,470,,0,0
222537125000000,64,PREP,P01,S01,ringPipIso,32,587,518,423,469,,0,0
222537140000000,65,PREP,P01,S01,ringPipIso,32,591,518,422,468,,0,0
222537156000000,66,PREP,P01,S01,ringPipIso,32,587,517,423,467,,0,0
222537156000000,67,PREP,P01,S01,ringPipIso,32,585,518,422,474,,0,0
222537171000000,68,PREP,P01,S01,ringPipIso,32,585,517,425,471,,0,0
222537171000000,69,PREP,P01,S01,ringPipIso,32,588,517,423,469,,0,0
222537187000000,70,PREP,P01,S01,ringPipIso,32,588,518,423,469,,0,0
222537203000000,71,PREP,P01,S01,ringPipIso,32,590,518,423,469,,0,0
222537203000000,72,PREP,P01,S01,ringPipIso,32,589,519,424,470,,0,0
222537218000000,73,PREP,P01,S01,ringPipIso,32,589,509,420,477,,0,0
222537234000000,74,PREP,P01,S01,ringPipIso,32,590,515,424,470,,0,0
222537234000000,75,PREP,P01,S01,ringPipIso,32,588,528,421,470,,0,0
222537250000000,76,PREP,P01,S01,ringPipIso,32,585,529,425,470,,0,0
222537265000000,77,PREP,P01,S01,ringPipIso,32,585,530,424,471,,0,0
222537265000000,78,PREP,P01,S01,ringPipIso,32,587,530,424,470,,0,0
222537281000000,79,PREP,P01,S01,ringPipIso,32,586,530,424,469,,0,0
222537296000000,80,PREP,P01,S01,ringPipIso,32,586,527,412,469,,0,0
222537296000000,81,PREP,P01,S01,ringPipIso,32,588,530,423,469,,0,0
222537312000000,82,PREP,P01,S01,ringPipIso,32,585,527,425,469,,0,0
222537312000000,83,PREP,P01,S01,ringPipIso,32,587,528,424,470,,0,0
222537328000000,84,PREP,P01,S01,ringPipIso,32,587,530,424,469,,0,0
222537343000000,85,PREP,P01,S01,ringPipIso,32,587,530,424,468,,0,0
222537343000000,86,PREP,P01,S01,ringPipIso,32,584,533,422,472,,0,0
222537359000000,87,PREP,P01,S01,ringPipIso,32,587,533,423,471,,0,0
222537375000000,88,PREP,P01,S01,ringPipIso,32,587,534,425,470,,0,0
222537375000000,89,PREP,P01,S01,ringPipIso,32,587,532,424,468,,0,0
222537390000000,90,PREP,P01,S01,ringPipIso,32,587,534,424,469,,0,0
222537406000000,91,PREP,P01,S01,ringPipIso,32,586,534,424,469,,0,0
222537406000000,92,PREP,P01,S01,ringPipIso,32,587,534,425,468,,0,0
222537421000000,93,PREP,P01,S01,ringPipIso,32,587,532,427,469,,0,0
222537437000000,94,PREP,P01,S01,ringPipIso,32,586,530,425,470,,0,0
222537437000000,95,PREP,P01,S01,ringPipIso,32,586,527,423,470,,0,0
222537453000000,96,PREP,P01,S01,ringPipIso,32,586,525,424,469,,0,0
222537453000000,97,PREP,P01,S01,ringPipIso,32,584,518,421,466,,1,0
222537468000000,98,PREP,P01,S01,ringPipIso,32,583,518,424,467,,1,0
222537484000000,99,PREP,P01,S01,ringPipIso,32,582,519,423,467,,1,0
