t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222555484000000,29.39,24.93,23.36,30.74,6.43,3.43,23.04,7.13,1.28,27.1,6.19,2.72,32.39,5.23,2.54,0
222555500000000,29.39,24.93,23.36,30.74,6.43,3.43,23.04,7.13,1.28,27.1,6.19,2.72,32.39,5.23,2.54,0
222555515000000,29.39,24.93,23.36,30.74,6.43,3.43,23.04,7.13,1.28,27.1,6.19,2.72,32.39,5.23,2.54,0
222555515000000,29.39,24.93,23.36,30.74,6.43,3.43,23.04,7.13,1.28,27.1,6.19,2.72,32.39,5.23,2.54,0
222555531000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555546000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555546000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555562000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555562000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555578000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555593000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555593000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555609000000,29.9,25.1,24.84,30.28,5.81,3.05,22.47,6.77,0.95,26.78,6.14,2.78,31.85,5.41,2.39,0
222555625000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555625000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555640000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555656000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555656000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555671000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555687000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555687000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555703000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555703000000,29.98,24.84,25.16,30.66,5.78,3.02,23.02,6.86,0.86,27.35,6.15,2.63,32.44,5.25,2.25,0
222555718000000,30.2,24.49,25.08,30.64,5.79,2.93,22.95,6.94,0.81,27.35,6.1,2.85,32.19,5.2,2.5,0
222555734000000,30.2,24.49,25.08,30.64,5.79,2.93,22.95,6.94,0.81,27.35,6.1,2.85,32.19,5.2,2.5,0
222555734000000,30.2,24.49,25.08,30.64,5.79,2.93,22.95,6.94,0.81,27.35,6.1,2.85,32.19,5.2,2.5,0
222555750000000,30.2,24.49,25.08,30.64,5.79,2.93,22.95,6.94,0.81,27.35,6.1,2.85,32.19,5.2,2.5,0
222555765000000,29.68,25.23,24.77,29.95,6.15,3.12,22.5,6.85,0.92,26.92,6.05,2.7,31.96,5.43,2.52,0
222555765000000,29.68,25.23,24.77,29.95,6.15,3.12,22.5,6.85,0.92,26.92,6.05,2.7,31.96,5.43,2.52,0
222555781000000,29.68,25.23,24.77,29.95,6.15,3.12,22.5,6.85,0.92,26.92,6.05,2.7,31.96,5.43,2.52,0
222555796000000,29.68,25.23,24.77,29.95,6.15,3.12,22.5,6.85,0.92,26.92,6.05,2.7,31.96,5.43,2.52,0
222555796000000,29.68,25.23,24.77,29.95,6.15,3.12,22.5,6.85,0.92,26.92,6.05,2.7,31.96,5.43,2.52,0
222555812000000,30.21,25.0,23.17,29.83,6.96,3.51,23.23,7.34,1.39,27.94,6.1,3.12,32.45,5.59,2.92,0
222555812000000,30.21,25.0,23.17,29.83,6.96,3.51,23.23,7.34,1.39,27.94,6.1,3.12,32.45,5.59,2.92,0
222555828000000,30.21,25.0,23.17,29.83,6.96,3.51,23.23,7.34,1.39,27.94,6.1,3.12,32.45,5.59,2.92,0
222555843000000,30.21,25.0,23.17,29.83,6.96,3.51,23.23,7.34,1.39,27.94,6.1,3.12,32.45,5.59,2.92,0
222555843000000,30.21,25.0,23.17,29.83,6.96,3.51,23.23,7.34,1.39,27.94,6.1,3.12,32.45,5.59,2.92,0
222555859000000,29.31,25.02,23.48,29.74,6.75,3.36,22.54,7.34,1.43,27.16,6.14,2.96,32.2,5.6,2.84,0
222555875000000,29.31,25.02,23.48,29.74,6.75,3.36,22.54,7.34,1.43,27.16,6.14,2.96,32.2,5.6,2.84,0
222555875000000,29.31,25.02,23.48,29.74,6.75,3.36,22.54,7.34,1.43,27.16,6.14,2.96,32.2,5.6,2.84,0
222555890000000,29.31,25.02,23.48,29.74,6.75,3.36,22.54,7.34,1.43,27.16,6.14,2.96,32.2,5.6,2.84,0
222555906000000,28.62,24.47,24.14,28.55,6.56,3.62,21.77,6.93,1.36,27.01,5.98,3.1,32.36,5.68,2.92,0
222555906000000,28.62,24.47,24.14,28.55,6.56,3.62,21.77,6.93,1.36,27.01,5.98,3.1,32.36,5.68,2.92,0
222555921000000,28.62,24.47,24.14,28.55,6.56,3.62,21.77,6.93,1.36,27.01,5.98,3.1,32.36,5.68,2.92,0
222555921000000,28.62,24.47,24.14,28.55,6.56,3.62,21.77,6.93,1.36,27.01,5.98,3.1,32.36,5.68,2.92,0
222555937000000,28.62,24.47,24.14,28.55,6.56,3.62,21.77,6.93,1.36,27.01,5.98,3.1,32.36,5.68,2.92,0
222555953000000,28.39,24.65,25.09,29.21,6.4,3.32,21.95,6.95,1.31,26.75,5.79,2.97,31.87,5.55,2.67,0
222555953000000,28.39,24.65,25.09,29.21,6.4,3.32,21.95,6.95,1.31,26.75,5.79,2.97,31.87,5.55,2.67,0
222555968000000,28.39,24.65,25.09,29.21,6.4,3.32,21.95,6.95,1.31,26.75,5.79,2.97,31.87,5.55,2.67,0
222555984000000,28.39,24.65,25.09,29.21,6.4,3.32,21.95,6.95,1.31,26.75,5.79,2.97,31.87,5.55,2.67,0
222555984000000,28.39,24.65,25.09,29.21,6.4,3.32,21.95,6.95,1.31,26.75,5.79,2.97,31.87,5.55,2.67,0
222556000000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556015000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556015000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556031000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556046000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556046000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556062000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556062000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556078000000,27.77,24.27,24.34,29.04,6.45,3.43,21.98,6.87,1.34,26.96,5.84,3.12,31.97,5.56,2.88,0
222556093000000,28.24,24.64,24.98,29.17,6.35,3.37,22.03,6.98,1.3,26.94,5.81,3.16,31.89,5.54,2.94,0
222556093000000,28.24,24.64,24.98,29.17,6.35,3.37,22.03,6.98,1.3,26.94,5.81,3.16,31.89,5.54,2.94,0
222556109000000,28.24,24.64,24.98,29.17,6.35,3.37,22.03,6.98,1.3,26.94,5.81,3.16,31.89,5.54,2.94,0
222556125000000,28.24,24.64,24.98,29.17,6.35,3.37,22.03,6.98,1.3,26.94,5.81,3.16,31.89,5.54,2.94,0
