t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223030640000000,0,PREP,P01,S01,sphericalGrip,58,198,276,162,325,PREP_START,0,0
223030656000000,1,PREP,P01,S01,sphericalGrip,58,198,276,162,325,,0,0
223030656000000,2,PREP,P01,S01,sphericalGrip,58,198,275,162,324,,0,0
223030671000000,3,PREP,P01,S01,sphericalGrip,58,198,274,163,323,,0,0
223030687000000,4,PREP,P01,S01,sphericalGrip,58,198,273,168,321,,0,0
223030687000000,5,PREP,P01,S01,sphericalGrip,58,198,272,162,321,,0,0
223030703000000,6,PREP,P01,S01,sphericalGrip,58,199,272,161,320,,0,0
223030718000000,7,PREP,P01,S01,sphericalGrip,58,198,272,162,319,,0,0
223030718000000,8,PREP,P01,S01,sphericalGrip,58,198,272,163,320,,0,0
223030734000000,9,PREP,P01,S01,sphericalGrip,58,198,272,163,320,,0,0
223030750000000,10,PREP,P01,S01,sphericalGrip,58,201,273,162,321,,0,0
223030750000000,11,PREP,P01,S01,sphericalGrip,58,198,273,163,321,,0,0
223030765000000,12,PREP,P01,S01,sphericalGrip,58,198,273,163,321,,0,0
223030765000000,13,PREP,P01,S01,sphericalGrip,58,198,274,163,320,,0,0
223030781000000,14,PREP,P01,S01,sphericalGrip,58,198,276,176,320,,0,0
223030796000000,15,PREP,P01,S01,sphericalGrip,58,198,277,179,321,,0,0
223030796000000,16,PREP,P01,S01,sphericalGrip,58,199,278,177,320,,0,0
223030812000000,17,PREP,P01,S01,sphericalGrip,58,198,278,179,320,,0,0
223030828000000,18,PREP,P01,S01,sphericalGrip,58,198,278,180,320,,0,0
223030828000000,19,PREP,P01,S01,sphericalGrip,58,199,278,181,320,,0,0
223030843000000,20,PREP,P01,S01,sphericalGrip,58,198,276,183,321,,0,0
223030859000000,21,PREP,P01,S01,sphericalGrip,58,198,278,184,321,,0,0
223030859000000,22,PREP,P01,S01,sphericalGrip,58,198,274,185,321,,0,0
223030875000000,23,PREP,P01,S01,sphericalGrip,58,196,278,185,321,,0,0
