t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223049640000000,20.2,24.41,18.41,10.98,4.3,3.02,13.28,5.22,2.05,21.56,5.42,4.0,24.46,7.19,3.37,0
223049656000000,20.2,24.41,18.41,10.98,4.3,3.02,13.28,5.22,2.05,21.56,5.42,4.0,24.46,7.19,3.37,0
223049656000000,20.2,24.41,18.41,10.98,4.3,3.02,13.28,5.22,2.05,21.56,5.42,4.0,24.46,7.19,3.37,0
223049671000000,20.2,24.41,18.41,10.98,4.3,3.02,13.28,5.22,2.05,21.56,5.42,4.0,24.46,7.19,3.37,0
223049687000000,19.97,24.25,19.14,10.33,4.27,2.88,12.97,4.94,1.86,21.37,4.96,3.78,24.27,6.67,3.36,0
223049687000000,19.97,24.25,19.14,10.33,4.27,2.88,12.97,4.94,1.86,21.37,4.96,3.78,24.27,6.67,3.36,0
223049703000000,19.97,24.25,19.14,10.33,4.27,2.88,12.97,4.94,1.86,21.37,4.96,3.78,24.27,6.67,3.36,0
223049718000000,19.97,24.25,19.14,10.33,4.27,2.88,12.97,4.94,1.86,21.37,4.96,3.78,24.27,6.67,3.36,0
223049718000000,19.97,24.25,19.14,10.33,4.27,2.88,12.97,4.94,1.86,21.37,4.96,3.78,24.27,6.67,3.36,0
223049734000000,19.57,24.02,18.6,11.14,4.4,3.01,13.37,5.14,1.87,21.52,5.19,3.83,24.31,6.65,3.42,0
223049750000000,19.57,24.02,18.6,11.14,4.4,3.01,13.37,5.14,1.87,21.52,5.19,3.83,24.31,6.65,3.42,0
223049750000000,19.57,24.02,18.6,11.14,4.4,3.01,13.37,5.14,1.87,21.52,5.19,3.83,24.31,6.65,3.42,0
223049765000000,19.57,24.02,18.6,11.14,4.4,3.01,13.37,5.14,1.87,21.52,5.19,3.83,24.31,6.65,3.42,0
223049781000000,19.75,23.91,19.86,11.72,4.9,2.85,13.19,5.61,2.16,21.36,5.63,4.32,24.62,7.16,3.55,0
223049781000000,19.75,23.91,19.86,11.72,4.9,2.85,13.19,5.61,2.16,21.36,5.63,4.32,24.62,7.16,3.55,0
223049796000000,19.75,23.91,19.86,11.72,4.9,2.85,13.19,5.61,2.16,21.36,5.63,4.32,24.62,7.16,3.55,0
