t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
221966468000000,0,PREP,P01,S01,thumbCmcIso,2,348,665,250,413,PREP_START,1,0
221966484000000,1,PREP,P01,S01,thumbCmcIso,2,350,665,247,411,,1,0
221966500000000,2,PREP,P01,S01,thumbCmcIso,2,347,665,248,412,,1,0
221966500000000,3,PREP,P01,S01,thumbCmcIso,2,343,664,247,410,,1,0
221966515000000,4,PREP,P01,S01,thumbCmcIso,2,342,665,246,410,,1,0
221966531000000,5,PREP,P01,S01,thumbCmcIso,2,338,664,246,410,,1,0
221966531000000,6,PREP,P01,S01,thumbCmcIso,2,327,664,246,409,,1,0
221966546000000,7,PREP,P01,S01,thumbCmcIso,2,325,664,246,408,,1,0
221966546000000,8,PREP,P01,S01,thumbCmcIso,2,325,667,246,411,,0,0
221966562000000,9,PREP,P01,S01,thumbCmcIso,2,329,668,246,410,,0,0
221966578000000,10,PREP,P01,S01,thumbCmcIso,2,324,668,245,410,,0,0
221966578000000,11,PREP,P01,S01,thumbCmcIso,2,323,668,246,410,,0,0
221966593000000,12,PREP,P01,S01,thumbCmcIso,2,318,668,245,410,,0,0
221966609000000,13,PREP,P01,S01,thumbCmcIso,2,324,668,245,410,,0,0
221966609000000,14,PREP,P01,S01,thumbCmcIso,2,320,666,241,409,,0,0
221966625000000,15,PREP,P01,S01,thumbCmcIso,2,320,665,241,409,,0,0
221966640000000,16,PREP,P01,S01,thumbCmcIso,2,320,663,241,410,,0,0
221966640000000,17,PREP,P01,S01,thumbCmcIso,2,322,664,240,410,,0,0
221966656000000,18,PREP,P01,S01,thumbCmcIso,2,319,664,240,409,,0,0
221966656000000,19,PREP,P01,S01,thumbCmcIso,2,318,662,240,409,,0,0
221966671000000,20,PREP,P01,S01,thumbCmcIso,2,318,663,239,409,,0,0
221966687000000,21,PREP,P01,S01,thumbCmcIso,2,320,662,239,409,,0,0
221966687000000,22,PREP,P01,S01,thumbCmcIso,2,307,659,238,409,,0,0
221966703000000,23,PREP,P01,S01,thumbCmcIso,2,307,661,239,408,,0,0
221966718000000,24,PREP,P01,S01,thumbCmcIso,2,306,660,237,407,,0,0
221966718000000,25,PREP,P01,S01,thumbCmcIso,2,304,659,236,408,,0,0
221966734000000,26,PREP,P01,S01,thumbCmcIso,2,299,660,238,408,,0,0
221966750000000,27,PREP,P01,S01,thumbCmcIso,2,293,659,238,410,,0,0
221966750000000,28,PREP,P01,S01,thumbCmcIso,2,288,660,238,410,,0,0
221966765000000,29,PREP,P01,S01,thumbCmcIso,2,282,659,239,411,,0,0
