t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
221985468000000,22.22,20.57,7.95,22.11,7.05,3.77,15.58,6.6,1.44,21.41,4.97,2.69,27.43,5.74,4.32,0
221985484000000,22.22,20.57,7.95,22.11,7.05,3.77,15.58,6.6,1.44,21.41,4.97,2.69,27.43,5.74,4.32,0
221985500000000,22.22,20.57,7.95,22.11,7.05,3.77,15.58,6.6,1.44,21.41,4.97,2.69,27.43,5.74,4.32,0
221985500000000,22.22,20.57,7.95,22.11,7.05,3.77,15.58,6.6,1.44,21.41,4.97,2.69,27.43,5.74,4.32,0
221985515000000,21.99,20.87,8.35,22.8,7.08,3.73,16.23,6.52,1.15,21.89,4.78,2.33,27.47,5.52,4.26,0
221985531000000,21.99,20.87,8.35,22.8,7.08,3.73,16.23,6.52,1.15,21.89,4.78,2.33,27.47,5.52,4.26,0
221985531000000,21.99,20.87,8.35,22.8,7.08,3.73,16.23,6.52,1.15,21.89,4.78,2.33,27.47,5.52,4.26,0
221985546000000,21.99,20.87,8.35,22.8,7.08,3.73,16.23,6.52,1.15,21.89,4.78,2.33,27.47,5.52,4.26,0
221985546000000,21.99,20.87,8.35,22.8,7.08,3.73,16.23,6.52,1.15,21.89,4.78,2.33,27.47,5.52,4.26,0
221985562000000,21.64,20.77,8.77,22.59,7.17,3.7,16.14,6.65,1.25,21.79,4.98,2.56,27.56,5.77,4.37,0
221985578000000,21.64,20.77,8.77,22.59,7.17,3.7,16.14,6.65,1.25,21.79,4.98,2.56,27.56,5.77,4.37,0
221985578000000,21.64,20.77,8.77,22.59,7.17,3.7,16.14,6.65,1.25,21.79,4.98,2.56,27.56,5.77,4.37,0
221985593000000,21.64,20.77,8.77,22.59,7.17,3.7,16.14,6.65,1.25,21.79,4.98,2.56,27.56,5.77,4.37,0
