t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222061468000000,0,PREP,P01,S01,thumbIpIso,7,198,492,201,339,PREP_START,1,0
222061484000000,1,PREP,P01,S01,thumbIpIso,7,199,494,202,339,,1,0
222061500000000,2,PREP,P01,S01,thumbIpIso,7,201,494,210,338,,1,0
222061500000000,3,PREP,P01,S01,thumbIpIso,7,201,494,199,336,,1,0
222061515000000,4,PREP,P01,S01,thumbIpIso,7,196,495,199,330,,1,0
222061531000000,5,PREP,P01,S01,thumbIpIso,7,195,495,198,329,,1,0
222061531000000,6,PREP,P01,S01,thumbIpIso,7,194,494,198,329,,1,0
222061546000000,7,PREP,P01,S01,thumbIpIso,7,198,493,198,329,,1,0
222061562000000,8,PREP,P01,S01,thumbIpIso,7,196,495,199,331,,0,0
222061562000000,9,PREP,P01,S01,thumbIpIso,7,199,497,199,333,,0,0
222061578000000,10,PREP,P01,S01,thumbIpIso,7,200,497,199,331,,0,0
222061578000000,11,PREP,P01,S01,thumbIpIso,7,195,497,198,334,,0,0
222061593000000,12,PREP,P01,S01,thumbIpIso,7,199,496,199,332,,0,0
222061609000000,13,PREP,P01,S01,thumbIpIso,7,198,497,198,330,,0,0
222061609000000,14,PREP,P01,S01,thumbIpIso,7,198,495,197,329,,0,0
222061625000000,15,PREP,P01,S01,thumbIpIso,7,196,493,194,327,,0,0
222061640000000,16,PREP,P01,S01,thumbIpIso,7,180,490,196,326,,0,0
222061640000000,17,PREP,P01,S01,thumbIpIso,7,189,489,195,325,,0,0
222061656000000,18,PREP,P01,S01,thumbIpIso,7,184,489,194,324,,0,0
222061671000000,19,PREP,P01,S01,thumbIpIso,7,187,488,197,324,,0,0
222061671000000,20,PREP,P01,S01,thumbIpIso,7,193,488,195,323,,0,0
222061687000000,21,PREP,P01,S01,thumbIpIso,7,187,491,194,329,,0,0
222061703000000,22,PREP,P01,S01,thumbIpIso,7,187,492,196,323,,0,0
222061703000000,23,PREP,P01,S01,thumbIpIso,7,188,492,199,323,,0,0
222061718000000,24,PREP,P01,S01,thumbIpIso,7,186,493,197,324,,0,0
222061718000000,25,PREP,P01,S01,thumbIpIso,7,186,491,198,326,,0,0
222061734000000,26,PREP,P01,S01,thumbIpIso,7,191,497,198,327,,0,0
222061750000000,27,PREP,P01,S01,thumbIpIso,7,184,497,199,327,,0,0
222061750000000,28,PREP,P01,S01,thumbIpIso,7,178,498,199,327,,0,0
222061765000000,29,PREP,P01,S01,thumbIpIso,7,178,497,198,326,,0,0
222061781000000,30,PREP,P01,S01,thumbIpIso,7,182,503,194,326,,0,0
222061781000000,31,PREP,P01,S01,thumbIpIso,7,179,497,199,326,,0,0
222061796000000,32,PREP,P01,S01,thumbIpIso,7,184,500,199,324,,0,0
222061812000000,33,PREP,P01,S01,thumbIpIso,7,185,499,199,327,,0,0
222061812000000,34,PREP,P01,S01,thumbIpIso,7,182,498,197,328,,0,0
222061828000000,35,PREP,P01,S01,thumbIpIso,7,186,499,202,328,,0,0
222061828000000,36,PREP,P01,S01,thumbIpIso,7,188,494,202,329,,0,0
222061843000000,37,PREP,P01,S01,thumbIpIso,7,190,499,214,329,,0,0
222061859000000,38,PREP,P01,S01,thumbIpIso,7,188,499,217,330,,0,0
222061859000000,39,PREP,P01,S01,thumbIpIso,7,194,500,219,331,,0,0
222061875000000,40,PREP,P01,S01,thumbIpIso,7,193,503,219,331,,0,0
222061890000000,41,PREP,P01,S01,thumbIpIso,7,207,502,220,334,,0,0
222061890000000,42,PREP,P01,S01,thumbIpIso,7,214,501,217,334,,0,0
222061906000000,43,PREP,P01,S01,thumbIpIso,7,216,500,220,332,,0,0
222061921000000,44,PREP,P01,S01,thumbIpIso,7,217,499,220,333,,0,0
222061921000000,45,PREP,P01,S01,thumbIpIso,7,214,501,221,333,,0,0
222061937000000,46,PREP,P01,S01,thumbIpIso,7,214,501,222,342,,0,0
222061953000000,47,PREP,P01,S01,thumbIpIso,7,220,501,221,343,,0,0
222061953000000,48,PREP,P01,S01,thumbIpIso,7,220,501,221,342,,0,0
222061968000000,49,PREP,P01,S01,thumbIpIso,7,226,501,222,344,,0,0
222061968000000,50,PREP,P01,S01,thumbIpIso,7,226,500,222,343,,0,0
222061984000000,51,PREP,P01,S01,thumbIpIso,7,229,503,221,343,,0,0
222062000000000,52,PREP,P01,S01,thumbIpIso,7,252,503,222,348,,0,0
222062000000000,53,PREP,P01,S01,thumbIpIso,7,256,503,222,344,,0,0
222062015000000,54,PREP,P01,S01,thumbIpIso,7,264,503,221,332,,0,0
222062031000000,55,PREP,P01,S01,thumbIpIso,7,270,503,222,342,,0,0
222062031000000,56,PREP,P01,S01,thumbIpIso,7,274,505,222,340,,0,0
222062046000000,57,PREP,P01,S01,thumbIpIso,7,276,503,221,335,,0,0
222062062000000,58,PREP,P01,S01,thumbIpIso,7,275,504,220,336,,0,0
222062062000000,59,PREP,P01,S01,thumbIpIso,7,278,502,220,336,,0,0
222062078000000,60,PREP,P01,S01,thumbIpIso,7,279,502,221,337,,0,0
222062078000000,61,PREP,P01,S01,thumbIpIso,7,280,504,222,337,,0,0
222062093000000,62,PREP,P01,S01,thumbIpIso,7,294,503,218,334,,0,0
222062109000000,63,PREP,P01,S01,thumbIpIso,7,294,504,220,339,,0,0
222062109000000,64,PREP,P01,S01,thumbIpIso,7,300,505,219,351,,0,0
222062125000000,65,PREP,P01,S01,thumbIpIso,7,287,501,220,343,,0,0
222062140000000,66,PREP,P01,S01,thumbIpIso,7,312,505,220,350,,0,0
222062140000000,67,PREP,P01,S01,thumbIpIso,7,326,509,222,351,,0,0
222062156000000,68,PREP,P01,S01,thumbIpIso,7,333,510,222,352,,0,0
222062171000000,69,PREP,P01,S01,thumbIpIso,7,355,511,227,350,,0,0
222062171000000,70,PREP,P01,S01,thumbIpIso,7,367,512,223,350,,0,0
222062187000000,71,PREP,P01,S01,thumbIpIso,7,380,510,222,349,,0,0
222062203000000,72,PREP,P01,S01,thumbIpIso,7,383,514,223,360,,0,0
222062203000000,73,PREP,P01,S01,thumbIpIso,7,382,513,224,359,,0,0
222062218000000,74,PREP,P01,S01,thumbIpIso,7,388,516,228,359,,0,0
222062218000000,75,PREP,P01,S01,thumbIpIso,7,392,518,223,366,,0,0
222062234000000,76,PREP,P01,S01,thumbIpIso,7,398,517,229,367,,0,0
222062250000000,77,PREP,P01,S01,thumbIpIso,7,407,517,230,380,,0,0
222062250000000,78,PREP,P01,S01,thumbIpIso,7,412,517,233,384,,0,0
222062265000000,79,PREP,P01,S01,thumbIpIso,7,431,516,232,387,,0,0
222062281000000,80,PREP,P01,S01,thumbIpIso,7,449,517,230,388,,0,0
