t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222080468000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080484000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080500000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080500000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080515000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080531000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080531000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080546000000,18.34,17.87,8.82,14.39,4.23,4.07,12.31,4.9,2.06,19.29,4.77,3.02,24.1,6.2,5.32,0
222080562000000,17.4,18.23,9.48,13.63,4.01,4.0,11.53,4.63,2.03,18.53,4.58,2.79,23.33,6.36,4.85,0
222080562000000,17.4,18.23,9.48,13.63,4.01,4.0,11.53,4.63,2.03,18.53,4.58,2.79,23.33,6.36,4.85,0
222080578000000,17.4,18.23,9.48,13.63,4.01,4.0,11.53,4.63,2.03,18.53,4.58,2.79,23.33,6.36,4.85,0
222080578000000,17.4,18.23,9.48,13.63,4.01,4.0,11.53,4.63,2.03,18.53,4.58,2.79,23.33,6.36,4.85,0
222080593000000,17.4,18.23,9.48,13.63,4.01,4.0,11.53,4.63,2.03,18.53,4.58,2.79,23.33,6.36,4.85,0
222080609000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080609000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080625000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080640000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080640000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080656000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080671000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080671000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080687000000,18.95,17.82,8.23,14.25,3.89,3.98,10.72,4.81,1.82,18.34,4.58,2.85,24.95,5.69,4.33,0
222080703000000,17.51,17.01,8.34,14.6,4.66,4.07,11.69,5.36,1.8,18.71,5.04,2.76,24.66,6.26,4.23,0
222080703000000,17.51,17.01,8.34,14.6,4.66,4.07,11.69,5.36,1.8,18.71,5.04,2.76,24.66,6.26,4.23,0
222080718000000,17.51,17.01,8.34,14.6,4.66,4.07,11.69,5.36,1.8,18.71,5.04,2.76,24.66,6.26,4.23,0
222080718000000,17.51,17.01,8.34,14.6,4.66,4.07,11.69,5.36,1.8,18.71,5.04,2.76,24.66,6.26,4.23,0
222080734000000,17.51,17.01,8.34,14.6,4.66,4.07,11.69,5.36,1.8,18.71,5.04,2.76,24.66,6.26,4.23,0
222080750000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080750000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080765000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080781000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080781000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080796000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080812000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080812000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080828000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080828000000,18.47,17.57,7.9,14.25,4.37,3.85,11.62,5.06,1.52,18.89,4.64,2.59,24.36,6.1,4.18,0
222080843000000,17.79,18.09,9.27,15.47,5.16,3.85,12.39,5.88,1.67,19.45,5.32,2.77,25.29,6.07,4.13,0
222080859000000,17.79,18.09,9.27,15.47,5.16,3.85,12.39,5.88,1.67,19.45,5.32,2.77,25.29,6.07,4.13,0
222080859000000,17.79,18.09,9.27,15.47,5.16,3.85,12.39,5.88,1.67,19.45,5.32,2.77,25.29,6.07,4.13,0
222080875000000,17.79,18.09,9.27,15.47,5.16,3.85,12.39,5.88,1.67,19.45,5.32,2.77,25.29,6.07,4.13,0
222080890000000,17.42,17.42,10.33,14.82,4.95,3.9,11.77,5.67,1.81,18.95,5.11,2.88,25.17,6.12,4.23,0
222080890000000,17.42,17.42,10.33,14.82,4.95,3.9,11.77,5.67,1.81,18.95,5.11,2.88,25.17,6.12,4.23,0
222080906000000,17.42,17.42,10.33,14.82,4.95,3.9,11.77,5.67,1.81,18.95,5.11,2.88,25.17,6.12,4.23,0
222080921000000,17.42,17.42,10.33,14.82,4.95,3.9,11.77,5.67,1.81,18.95,5.11,2.88,25.17,6.12,4.23,0
222080921000000,17.42,17.42,10.33,14.82,4.95,3.9,11.77,5.67,1.81,18.95,5.11,2.88,25.17,6.12,4.23,0
222080937000000,17.44,17.61,9.52,14.93,5.05,3.84,12.14,5.8,1.65,19.09,5.21,2.67,25.1,6.27,4.01,0
222080953000000,17.44,17.61,9.52,14.93,5.05,3.84,12.14,5.8,1.65,19.09,5.21,2.67,25.1,6.27,4.01,0
222080953000000,17.44,17.61,9.52,14.93,5.05,3.84,12.14,5.8,1.65,19.09,5.21,2.67,25.1,6.27,4.01,0
222080968000000,17.44,17.61,9.52,14.93,5.05,3.84,12.14,5.8,1.65,19.09,5.21,2.67,25.1,6.27,4.01,0
222080968000000,17.44,17.61,9.52,14.93,5.05,3.84,12.14,5.8,1.65,19.09,5.21,2.67,25.1,6.27,4.01,0
222080984000000,17.47,17.98,9.7,14.54,5.15,3.86,11.83,5.75,1.78,19.05,5.11,2.78,25.24,6.15,4.1,0
222081000000000,17.47,17.98,9.7,14.54,5.15,3.86,11.83,5.75,1.78,19.05,5.11,2.78,25.24,6.15,4.1,0
222081000000000,17.47,17.98,9.7,14.54,5.15,3.86,11.83,5.75,1.78,19.05,5.11,2.78,25.24,6.15,4.1,0
222081015000000,17.47,17.98,9.7,14.54,5.15,3.86,11.83,5.75,1.78,19.05,5.11,2.78,25.24,6.15,4.1,0
