t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222023468000000,0,PREP,P01,S01,thumbMcpIso,5,238,714,245,413,PREP_START,1,0
222023484000000,1,PREP,P01,S01,thumbMcpIso,5,239,715,245,414,,1,0
222023500000000,2,PREP,P01,S01,thumbMcpIso,5,240,712,245,421,,1,0
222023500000000,3,PREP,P01,S01,thumbMcpIso,5,241,711,244,414,,1,0
222023515000000,4,PREP,P01,S01,thumbMcpIso,5,239,712,246,412,,1,0
222023531000000,5,PREP,P01,S01,thumbMcpIso,5,240,713,248,413,,1,0
222023531000000,6,PREP,P01,S01,thumbMcpIso,5,233,711,245,413,,1,0
222023546000000,7,PREP,P01,S01,thumbMcpIso,5,238,711,245,419,,1,0
222023546000000,8,PREP,P01,S01,thumbMcpIso,5,241,714,245,415,,0,0
222023562000000,9,PREP,P01,S01,thumbMcpIso,5,243,712,246,415,,0,0
222023578000000,10,PREP,P01,S01,thumbMcpIso,5,242,715,244,415,,0,0
222023578000000,11,PREP,P01,S01,thumbMcpIso,5,240,717,242,414,,0,0
222023593000000,12,PREP,P01,S01,thumbMcpIso,5,240,716,242,421,,0,0
222023609000000,13,PREP,P01,S01,thumbMcpIso,5,241,717,243,414,,0,0
222023609000000,14,PREP,P01,S01,thumbMcpIso,5,239,714,242,413,,0,0
222023625000000,15,PREP,P01,S01,thumbMcpIso,5,241,717,242,417,,0,0
222023640000000,16,PREP,P01,S01,thumbMcpIso,5,239,716,242,414,,0,0
222023640000000,17,PREP,P01,S01,thumbMcpIso,5,238,717,238,414,,0,0
222023656000000,18,PREP,P01,S01,thumbMcpIso,5,244,717,239,414,,0,0
222023671000000,19,PREP,P01,S01,thumbMcpIso,5,240,720,238,412,,0,0
222023671000000,20,PREP,P01,S01,thumbMcpIso,5,227,718,235,409,,0,0
222023687000000,21,PREP,P01,S01,thumbMcpIso,5,236,717,225,405,,0,0
222023687000000,22,PREP,P01,S01,thumbMcpIso,5,230,720,232,406,,0,0
222023703000000,23,PREP,P01,S01,thumbMcpIso,5,233,719,226,410,,0,0
222023718000000,24,PREP,P01,S01,thumbMcpIso,5,234,722,227,412,,0,0
222023718000000,25,PREP,P01,S01,thumbMcpIso,5,233,723,223,414,,0,0
222023734000000,26,PREP,P01,S01,thumbMcpIso,5,234,721,229,415,,0,0
222023750000000,27,PREP,P01,S01,thumbMcpIso,5,234,723,226,416,,0,0
222023750000000,28,PREP,P01,S01,thumbMcpIso,5,237,720,227,416,,0,0
222023765000000,29,PREP,P01,S01,thumbMcpIso,5,253,717,227,415,,0,0
222023781000000,30,PREP,P01,S01,thumbMcpIso,5,238,716,228,415,,0,0
222023781000000,31,PREP,P01,S01,thumbMcpIso,5,235,720,227,415,,0,0
222023796000000,32,PREP,P01,S01,thumbMcpIso,5,238,714,227,416,,0,0
222023812000000,33,PREP,P01,S01,thumbMcpIso,5,238,715,227,418,,0,0
222023812000000,34,PREP,P01,S01,thumbMcpIso,5,240,715,227,412,,0,0
222023828000000,35,PREP,P01,S01,thumbMcpIso,5,245,714,227,415,,0,0
222023828000000,36,PREP,P01,S01,thumbMcpIso,5,240,712,227,415,,0,0
222023843000000,37,PREP,P01,S01,thumbMcpIso,5,238,712,236,415,,0,0
222023859000000,38,PREP,P01,S01,thumbMcpIso,5,240,712,227,416,,0,0
222023859000000,39,PREP,P01,S01,thumbMcpIso,5,238,711,225,415,,0,0
222023875000000,40,PREP,P01,S01,thumbMcpIso,5,218,707,227,416,,0,0
222023890000000,41,PREP,P01,S01,thumbMcpIso,5,240,703,226,415,,0,0
222023890000000,42,PREP,P01,S01,thumbMcpIso,5,244,702,228,415,,0,0
222023906000000,43,PREP,P01,S01,thumbMcpIso,5,239,705,226,415,,0,0
222023921000000,44,PREP,P01,S01,thumbMcpIso,5,240,701,228,415,,0,0
222023921000000,45,PREP,P01,S01,thumbMcpIso,5,240,702,228,415,,0,0
222023937000000,46,PREP,P01,S01,thumbMcpIso,5,241,705,228,415,,0,0
222023937000000,47,PREP,P01,S01,thumbMcpIso,5,240,705,227,415,,0,0
222023953000000,48,PREP,P01,S01,thumbMcpIso,5,240,706,229,414,,0,0
222023968000000,49,PREP,P01,S01,thumbMcpIso,5,240,703,231,415,,0,0
222023968000000,50,PREP,P01,S01,thumbMcpIso,5,241,702,231,417,,0,0
222023984000000,51,PREP,P01,S01,thumbMcpIso,5,240,701,233,416,,0,0
222024000000000,52,PREP,P01,S01,thumbMcpIso,5,242,699,233,416,,0,0
222024000000000,53,PREP,P01,S01,thumbMcpIso,5,243,696,233,416,,0,0
222024015000000,54,PREP,P01,S01,thumbMcpIso,5,239,696,234,416,,0,0
222024031000000,55,PREP,P01,S01,thumbMcpIso,5,240,694,234,410,,0,0
222024031000000,56,PREP,P01,S01,thumbMcpIso,5,240,692,234,414,,0,0
222024046000000,57,PREP,P01,S01,thumbMcpIso,5,241,689,234,412,,0,0
222024062000000,58,PREP,P01,S01,thumbMcpIso,5,240,687,234,414,,0,0
222024062000000,59,PREP,P01,S01,thumbMcpIso,5,239,688,235,420,,0,0
222024078000000,60,PREP,P01,S01,thumbMcpIso,5,237,691,237,416,,0,0
222024078000000,61,PREP,P01,S01,thumbMcpIso,5,241,691,236,418,,0,0
222024093000000,62,PREP,P01,S01,thumbMcpIso,5,241,693,235,417,,0,0
222024109000000,63,PREP,P01,S01,thumbMcpIso,5,241,693,235,415,,0,0
222024109000000,64,PREP,P01,S01,thumbMcpIso,5,250,694,234,415,,0,0
222024125000000,65,PREP,P01,S01,thumbMcpIso,5,241,694,235,415,,0,0
222024140000000,66,PREP,P01,S01,thumbMcpIso,5,238,696,236,415,,0,0
222024140000000,67,PREP,P01,S01,thumbMcpIso,5,241,697,235,415,,0,0
222024156000000,68,PREP,P01,S01,thumbMcpIso,5,241,702,237,416,,0,0
222024171000000,69,PREP,P01,S01,thumbMcpIso,5,241,700,233,415,,0,0
222024171000000,70,PREP,P01,S01,thumbMcpIso,5,242,702,236,416,,0,0
222024187000000,71,PREP,P01,S01,thumbMcpIso,5,241,703,238,415,,0,0
222024187000000,72,PREP,P01,S01,thumbMcpIso,5,242,706,240,420,,0,0
222024203000000,73,PREP,P01,S01,thumbMcpIso,5,242,708,239,416,,0,0
222024218000000,74,PREP,P01,S01,thumbMcpIso,5,238,709,238,415,,0,0
222024218000000,75,PREP,P01,S01,thumbMcpIso,5,241,712,240,416,,0,0
222024234000000,76,PREP,P01,S01,thumbMcpIso,5,241,711,245,414,,0,0
222024250000000,77,PREP,P01,S01,thumbMcpIso,5,241,719,238,413,,0,0
222024250000000,78,PREP,P01,S01,thumbMcpIso,5,243,717,238,413,,0,0
222024265000000,79,PREP,P01,S01,thumbMcpIso,5,239,716,237,412,,0,0
222024281000000,80,PREP,P01,S01,thumbMcpIso,5,240,722,237,403,,0,0
222024281000000,81,PREP,P01,S01,thumbMcpIso,5,239,716,237,404,,0,0
222024296000000,82,PREP,P01,S01,thumbMcpIso,5,239,715,237,404,,0,0
222024312000000,83,PREP,P01,S01,thumbMcpIso,5,239,715,235,410,,0,0
222024312000000,84,PREP,P01,S01,thumbMcpIso,5,242,715,238,403,,0,0
222024328000000,85,PREP,P01,S01,thumbMcpIso,5,239,713,236,404,,0,0
222024328000000,86,PREP,P01,S01,thumbMcpIso,5,238,712,238,400,,0,0
222024343000000,87,PREP,P01,S01,thumbMcpIso,5,238,711,238,404,,0,0
222024359000000,88,PREP,P01,S01,thumbMcpIso,5,237,712,238,403,,0,0
222024359000000,89,PREP,P01,S01,thumbMcpIso,5,237,713,239,401,,0,0
222024375000000,90,PREP,P01,S01,thumbMcpIso,5,233,711,238,398,,0,0
222024390000000,91,PREP,P01,S01,thumbMcpIso,5,233,713,240,403,,0,0
222024390000000,92,PREP,P01,S01,thumbMcpIso,5,232,712,240,402,,0,0
222024406000000,93,PREP,P01,S01,thumbMcpIso,5,240,704,237,400,,0,0
222024421000000,94,PREP,P01,S01,thumbMcpIso,5,229,713,238,400,,0,0
222024421000000,95,PREP,P01,S01,thumbMcpIso,5,232,713,236,401,,0,0
222024437000000,96,PREP,P01,S01,thumbMcpIso,5,229,719,238,398,,0,0
222024453000000,97,PREP,P01,S01,thumbMcpIso,5,234,715,237,398,,0,0
222024453000000,98,PREP,P01,S01,thumbMcpIso,5,222,712,236,394,,1,0
222024468000000,99,PREP,P01,S01,thumbMcpIso,5,222,709,236,384,,1,0
222024468000000,100,PREP,P01,S01,thumbMcpIso,5,222,709,236,383,,1,0
222024484000000,101,PREP,P01,S01,thumbMcpIso,5,223,700,234,382,,1,0
222024500000000,102,PREP,P01,S01,thumbMcpIso,5,224,697,232,382,,1,0
222024500000000,103,PREP,P01,S01,thumbMcpIso,5,243,695,236,380,,1,0
222024515000000,104,PREP,P01,S01,thumbMcpIso,5,258,692,237,372,,1,0
222024531000000,105,PREP,P01,S01,thumbMcpIso,5,249,691,234,371,,1,0
222024531000000,106,PREP,P01,S01,thumbMcpIso,5,254,688,232,371,,1,0
222024546000000,107,PREP,P01,S01,thumbMcpIso,5,262,686,235,369,,1,0
222024562000000,108,PREP,P01,S01,thumbMcpIso,5,263,680,235,370,,0,0
222024562000000,109,PREP,P01,S01,thumbMcpIso,5,265,671,232,373,,0,0
222024578000000,110,PREP,P01,S01,thumbMcpIso,5,286,643,232,373,,0,0
222024578000000,111,PREP,P01,S01,thumbMcpIso,5,325,637,232,372,,0,0
222024593000000,112,PREP,P01,S01,thumbMcpIso,5,330,609,225,372,,0,0
222024609000000,113,PREP,P01,S01,thumbMcpIso,5,330,591,224,373,,0,0
