t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222042468000000,19.58,23.78,23.45,17.58,5.29,3.44,13.01,5.68,2.23,21.26,5.45,3.63,27.47,6.86,4.5,0
222042484000000,19.58,23.78,23.45,17.58,5.29,3.44,13.01,5.68,2.23,21.26,5.45,3.63,27.47,6.86,4.5,0
222042500000000,19.58,23.78,23.45,17.58,5.29,3.44,13.01,5.68,2.23,21.26,5.45,3.63,27.47,6.86,4.5,0
222042500000000,19.58,23.78,23.45,17.58,5.29,3.44,13.01,5.68,2.23,21.26,5.45,3.63,27.47,6.86,4.5,0
222042515000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042531000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042531000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042546000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042562000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042562000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042578000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042578000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042593000000,19.67,23.39,24.0,17.78,5.5,3.39,13.49,5.78,2.18,21.77,5.45,3.43,27.78,6.9,4.28,0
222042609000000,18.98,23.32,24.36,17.19,5.55,3.32,13.03,5.87,2.33,21.34,5.63,3.67,27.5,7.19,4.48,0
222042609000000,18.98,23.32,24.36,17.19,5.55,3.32,13.03,5.87,2.33,21.34,5.63,3.67,27.5,7.19,4.48,0
222042625000000,18.98,23.32,24.36,17.19,5.55,3.32,13.03,5.87,2.33,21.34,5.63,3.67,27.5,7.19,4.48,0
222042640000000,18.98,23.32,24.36,17.19,5.55,3.32,13.03,5.87,2.33,21.34,5.63,3.67,27.5,7.19,4.48,0
222042640000000,18.98,23.32,24.36,17.19,5.55,3.32,13.03,5.87,2.33,21.34,5.63,3.67,27.5,7.19,4.48,0
222042656000000,19.37,23.99,24.24,17.46,5.67,3.38,13.05,5.95,2.43,21.27,5.58,3.65,27.62,7.03,4.46,0
222042671000000,19.37,23.99,24.24,17.46,5.67,3.38,13.05,5.95,2.43,21.27,5.58,3.65,27.62,7.03,4.46,0
222042671000000,19.37,23.99,24.24,17.46,5.67,3.38,13.05,5.95,2.43,21.27,5.58,3.65,27.62,7.03,4.46,0
222042687000000,19.37,23.99,24.24,17.46,5.67,3.38,13.05,5.95,2.43,21.27,5.58,3.65,27.62,7.03,4.46,0
222042687000000,19.37,23.99,24.24,17.46,5.67,3.38,13.05,5.95,2.43,21.27,5.58,3.65,27.62,7.03,4.46,0
222042703000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042718000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042718000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042734000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042750000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042750000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042765000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042781000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042781000000,18.92,23.24,24.97,17.44,5.87,3.3,12.84,6.18,2.56,21.15,5.9,3.87,27.66,7.13,4.51,0
222042796000000,19.38,23.46,23.2,17.04,5.68,3.44,12.87,6.02,2.46,21.16,5.7,3.7,27.73,6.91,4.37,0
222042796000000,19.38,23.46,23.2,17.04,5.68,3.44,12.87,6.02,2.46,21.16,5.7,3.7,27.73,6.91,4.37,0
222042812000000,19.38,23.46,23.2,17.04,5.68,3.44,12.87,6.02,2.46,21.16,5.7,3.7,27.73,6.91,4.37,0
222042828000000,19.38,23.46,23.2,17.04,5.68,3.44,12.87,6.02,2.46,21.16,5.7,3.7,27.73,6.91,4.37,0
222042828000000,19.38,23.46,23.2,17.04,5.68,3.44,12.87,6.02,2.46,21.16,5.7,3.7,27.73,6.91,4.37,0
222042843000000,19.1,23.66,23.76,17.33,5.95,3.2,12.8,6.13,2.5,20.89,5.76,3.77,27.51,7.04,4.43,0
222042859000000,19.1,23.66,23.76,17.33,5.95,3.2,12.8,6.13,2.5,20.89,5.76,3.77,27.51,7.04,4.43,0
222042859000000,19.1,23.66,23.76,17.33,5.95,3.2,12.8,6.13,2.5,20.89,5.76,3.77,27.51,7.04,4.43,0
222042875000000,19.1,23.66,23.76,17.33,5.95,3.2,12.8,6.13,2.5,20.89,5.76,3.77,27.51,7.04,4.43,0
222042890000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042890000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042906000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042921000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042921000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042937000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042937000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
222042953000000,19.08,23.38,23.26,17.37,5.89,3.33,13.34,6.2,2.19,21.64,5.87,3.58,27.92,7.1,4.31,0
