t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222954640000000,0,PREP,P01,S01,tipPinch,54,196,291,171,279,PREP_START,0,0
222954640000000,1,PREP,P01,S01,tipPinch,54,196,291,171,279,,0,0
222954656000000,2,PREP,P01,S01,tipPinch,54,195,292,171,279,,0,0
222954656000000,3,PREP,P01,S01,tipPinch,54,196,292,171,279,,0,0
222954671000000,4,PREP,P01,S01,tipPinch,54,196,293,170,279,,0,0
222954687000000,5,PREP,P01,S01,tipPinch,54,196,291,171,279,,0,0
222954687000000,6,PREP,P01,S01,tipPinch,54,196,290,171,279,,0,0
222954703000000,7,PREP,P01,S01,tipPinch,54,195,288,171,279,,0,0
222954718000000,8,PREP,P01,S01,tipPinch,54,195,288,171,279,,0,0
222954718000000,9,PREP,P01,S01,tipPinch,54,195,288,171,279,,0,0
222954734000000,10,PREP,P01,S01,tipPinch,54,196,288,171,280,,0,0
222954750000000,11,PREP,P01,S01,tipPinch,54,197,289,171,280,,0,0
222954750000000,12,PREP,P01,S01,tipPinch,54,196,289,171,279,,0,0
222954765000000,13,PREP,P01,S01,tipPinch,54,197,287,171,280,,0,0
222954765000000,14,PREP,P01,S01,tipPinch,54,196,290,171,281,,0,0
222954781000000,15,PREP,P01,S01,tipPinch,54,196,292,171,281,,0,0
222954796000000,16,PREP,P01,S01,tipPinch,54,196,293,171,281,,0,0
222954796000000,17,PREP,P01,S01,tipPinch,54,196,295,171,281,,0,0
222954812000000,18,PREP,P01,S01,tipPinch,54,196,295,171,281,,0,0
222954828000000,19,PREP,P01,S01,tipPinch,54,197,294,171,281,,0,0
222954828000000,20,PREP,P01,S01,tipPinch,54,195,295,172,288,,0,0
222954843000000,21,PREP,P01,S01,tipPinch,54,196,294,171,289,,0,0
222954859000000,22,PREP,P01,S01,tipPinch,54,195,294,171,291,,0,0
222954859000000,23,PREP,P01,S01,tipPinch,54,195,294,171,294,,0,0
222954875000000,24,PREP,P01,S01,tipPinch,54,200,294,171,295,,0,0
222954890000000,25,PREP,P01,S01,tipPinch,54,199,294,171,294,,0,0
222954890000000,26,PREP,P01,S01,tipPinch,54,199,295,171,294,,0,0
222954906000000,27,PREP,P01,S01,tipPinch,54,198,296,171,295,,0,0
222954906000000,28,PREP,P01,S01,tipPinch,54,199,296,171,294,,0,0
222954921000000,29,PREP,P01,S01,tipPinch,54,199,296,171,294,,0,0
222954937000000,30,PREP,P01,S01,tipPinch,54,199,296,171,294,,0,0
222954937000000,31,PREP,P01,S01,tipPinch,54,199,295,171,295,,0,0
222954953000000,32,PREP,P01,S01,tipPinch,54,199,296,171,295,,0,0
222954968000000,33,PREP,P01,S01,tipPinch,54,199,296,171,295,,0,0
222954968000000,34,PREP,P01,S01,tipPinch,54,199,297,175,295,,0,0
222954984000000,35,PREP,P01,S01,tipPinch,54,200,297,171,295,,0,0
222955000000000,36,PREP,P01,S01,tipPinch,54,199,298,172,296,,0,0
222955000000000,37,PREP,P01,S01,tipPinch,54,200,298,171,295,,0,0
222955015000000,38,PREP,P01,S01,tipPinch,54,201,298,172,295,,0,0
222955015000000,39,PREP,P01,S01,tipPinch,54,201,297,171,295,,0,0
222955031000000,40,PREP,P01,S01,tipPinch,54,201,298,172,295,,0,0
222955046000000,41,PREP,P01,S01,tipPinch,54,202,298,172,296,,0,0
222955046000000,42,PREP,P01,S01,tipPinch,54,202,298,171,295,,0,0
222955062000000,43,PREP,P01,S01,tipPinch,54,201,298,171,296,,0,0
222955078000000,44,PREP,P01,S01,tipPinch,54,201,298,171,295,,0,0
222955078000000,45,PREP,P01,S01,tipPinch,54,200,298,172,295,,0,0
222955093000000,46,PREP,P01,S01,tipPinch,54,201,297,172,295,,0,0
222955109000000,47,PREP,P01,S01,tipPinch,54,199,297,171,295,,0,0
222955109000000,48,PREP,P01,S01,tipPinch,54,202,299,172,295,,0,0
222955125000000,49,PREP,P01,S01,tipPinch,54,201,297,172,295,,0,0
222955140000000,50,PREP,P01,S01,tipPinch,54,200,298,172,295,,0,0
222955140000000,51,PREP,P01,S01,tipPinch,54,202,298,172,295,,0,0
222955156000000,52,PREP,P01,S01,tipPinch,54,202,299,172,295,,0,0
222955156000000,53,PREP,P01,S01,tipPinch,54,202,300,172,295,,0,0
222955171000000,54,PREP,P01,S01,tipPinch,54,202,299,172,296,,0,0
222955187000000,55,PREP,P01,S01,tipPinch,54,202,300,171,295,,0,0
222955187000000,56,PREP,P01,S01,tipPinch,54,202,300,172,295,,0,0
222955203000000,57,PREP,P01,S01,tipPinch,54,202,299,171,295,,0,0
222955218000000,58,PREP,P01,S01,tipPinch,54,202,299,171,295,,0,0
222955218000000,59,PREP,P01,S01,tipPinch,54,203,300,172,295,,0,0
222955234000000,60,PREP,P01,S01,tipPinch,54,202,299,172,295,,0,0
222955250000000,61,PREP,P01,S01,tipPinch,54,202,299,172,295,,0,0
222955250000000,62,PREP,P01,S01,tipPinch,54,201,299,173,294,,0,0
222955265000000,63,PREP,P01,S01,tipPinch,54,202,299,172,295,,0,0
222955265000000,64,PREP,P01,S01,tipPinch,54,200,299,172,294,,0,0
222955281000000,65,PREP,P01,S01,tipPinch,54,202,300,172,293,,0,0
