t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222954640000000,20.98,22.33,10.37,15.24,7.87,3.09,17.07,7.27,2.41,22.68,7.11,4.96,24.01,7.85,4.49,0
222954640000000,20.98,22.33,10.37,15.24,7.87,3.09,17.07,7.27,2.41,22.68,7.11,4.96,24.01,7.85,4.49,0
222954656000000,20.98,22.33,10.37,15.24,7.87,3.09,17.07,7.27,2.41,22.68,7.11,4.96,24.01,7.85,4.49,0
222954656000000,20.98,22.33,10.37,15.24,7.87,3.09,17.07,7.27,2.41,22.68,7.11,4.96,24.01,7.85,4.49,0
222954671000000,20.98,22.33,10.37,15.24,7.87,3.09,17.07,7.27,2.41,22.68,7.11,4.96,24.01,7.85,4.49,0
222954687000000,21.65,22.28,10.07,14.87,7.57,3.05,16.77,7.09,2.36,22.62,6.87,4.89,24.22,7.79,4.6,0
222954687000000,21.65,22.28,10.07,14.87,7.57,3.05,16.77,7.09,2.36,22.62,6.87,4.89,24.22,7.79,4.6,0
222954703000000,21.65,22.28,10.07,14.87,7.57,3.05,16.77,7.09,2.36,22.62,6.87,4.89,24.22,7.79,4.6,0
222954718000000,21.65,22.28,10.07,14.87,7.57,3.05,16.77,7.09,2.36,22.62,6.87,4.89,24.22,7.79,4.6,0
222954718000000,21.65,22.28,10.07,14.87,7.57,3.05,16.77,7.09,2.36,22.62,6.87,4.89,24.22,7.79,4.6,0
222954734000000,21.12,21.93,10.1,14.33,7.27,2.94,16.81,6.61,2.1,22.61,6.27,4.89,24.04,7.56,4.5,0
222954750000000,21.12,21.93,10.1,14.33,7.27,2.94,16.81,6.61,2.1,22.61,6.27,4.89,24.04,7.56,4.5,0
222954750000000,21.12,21.93,10.1,14.33,7.27,2.94,16.81,6.61,2.1,22.61,6.27,4.89,24.04,7.56,4.5,0
222954765000000,21.12,21.93,10.1,14.33,7.27,2.94,16.81,6.61,2.1,22.61,6.27,4.89,24.04,7.56,4.5,0
222954765000000,21.12,21.93,10.1,14.33,7.27,2.94,16.81,6.61,2.1,22.61,6.27,4.89,24.04,7.56,4.5,0
