t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222859562000000,0,PREP,P01,S01,tripodGrip,49,175,303,203,323,PREP_START,0,0
222859578000000,1,PREP,P01,S01,tripodGrip,49,175,303,203,322,,0,0
222859578000000,2,PREP,P01,S01,tripodGrip,49,176,305,204,323,,0,0
222859593000000,3,PREP,P01,S01,tripodGrip,49,175,305,203,324,,0,0
222859609000000,4,PREP,P01,S01,tripodGrip,49,174,306,203,323,,0,0
222859609000000,5,PREP,P01,S01,tripodGrip,49,175,306,203,323,,0,0
222859625000000,6,PREP,P01,S01,tripodGrip,49,175,305,203,321,,0,0
222859625000000,7,PREP,P01,S01,tripodGrip,49,175,306,203,322,,0,0
222859640000000,8,PREP,P01,S01,tripodGrip,49,176,308,202,322,,0,0
222859656000000,9,PREP,P01,S01,tripodGrip,49,176,309,203,312,,0,0
222859656000000,10,PREP,P01,S01,tripodGrip,49,176,309,203,312,,0,0
222859671000000,11,PREP,P01,S01,tripodGrip,49,175,306,203,322,,0,0
222859687000000,12,PREP,P01,S01,tripodGrip,49,176,307,204,322,,0,0
222859687000000,13,PREP,P01,S01,tripodGrip,49,176,307,204,322,,0,0
222859703000000,14,PREP,P01,S01,tripodGrip,49,178,307,204,322,,0,0
222859718000000,15,PREP,P01,S01,tripodGrip,49,176,307,205,321,,0,0
222859718000000,16,PREP,P01,S01,tripodGrip,49,176,307,205,321,,0,0
222859734000000,17,PREP,P01,S01,tripodGrip,49,177,307,205,320,,0,0
222859734000000,18,PREP,P01,S01,tripodGrip,49,177,308,205,319,,0,0
222859750000000,19,PREP,P01,S01,tripodGrip,49,177,309,205,317,,0,0
222859765000000,20,PREP,P01,S01,tripodGrip,49,178,308,204,317,,0,0
222859765000000,21,PREP,P01,S01,tripodGrip,49,178,308,204,317,,0,0
222859781000000,22,PREP,P01,S01,tripodGrip,49,177,308,205,317,,0,0
222859796000000,23,PREP,P01,S01,tripodGrip,49,178,308,205,317,,0,0
222859796000000,24,PREP,P01,S01,tripodGrip,49,178,309,206,318,,0,0
222859812000000,25,PREP,P01,S01,tripodGrip,49,179,308,206,318,,0,0
222859828000000,26,PREP,P01,S01,tripodGrip,49,178,308,206,317,,0,0
222859828000000,27,PREP,P01,S01,tripodGrip,49,179,308,206,318,,0,0
222859843000000,28,PREP,P01,S01,tripodGrip,49,178,308,206,318,,0,0
222859859000000,29,PREP,P01,S01,tripodGrip,49,179,308,206,318,,0,0
222859859000000,30,PREP,P01,S01,tripodGrip,49,178,308,206,318,,0,0
222859875000000,31,PREP,P01,S01,tripodGrip,49,178,308,206,317,,0,0
222859875000000,32,PREP,P01,S01,tripodGrip,49,178,308,206,318,,0,0
222859890000000,33,PREP,P01,S01,tripodGrip,49,179,308,206,318,,0,0
222859906000000,34,PREP,P01,S01,tripodGrip,49,178,307,206,318,,0,0
222859906000000,35,PREP,P01,S01,tripodGrip,49,179,307,206,318,,0,0
222859921000000,36,PREP,P01,S01,tripodGrip,49,178,308,206,317,,0,0
222859937000000,37,PREP,P01,S01,tripodGrip,49,179,308,206,317,,0,0
222859937000000,38,PREP,P01,S01,tripodGrip,49,178,309,206,317,,0,0
222859953000000,39,PREP,P01,S01,tripodGrip,49,178,308,205,317,,0,0
222859968000000,40,PREP,P01,S01,tripodGrip,49,178,309,206,316,,0,0
222859968000000,41,PREP,P01,S01,tripodGrip,49,177,308,206,317,,0,0
222859984000000,42,PREP,P01,S01,tripodGrip,49,178,309,206,316,,0,0
222859984000000,43,PREP,P01,S01,tripodGrip,49,178,310,207,317,,0,0
222860000000000,44,PREP,P01,S01,tripodGrip,49,178,310,206,317,,0,0
222860015000000,45,PREP,P01,S01,tripodGrip,49,179,310,206,319,,0,0
222860015000000,46,PREP,P01,S01,tripodGrip,49,179,310,206,320,,0,0
222860031000000,47,PREP,P01,S01,tripodGrip,49,179,312,206,320,,0,0
222860046000000,48,PREP,P01,S01,tripodGrip,49,179,312,207,321,,0,0
222860046000000,49,PREP,P01,S01,tripodGrip,49,179,312,207,320,,0,0
222860062000000,50,PREP,P01,S01,tripodGrip,49,179,312,207,320,,0,0
222860078000000,51,PREP,P01,S01,tripodGrip,49,180,311,207,320,,0,0
222860078000000,52,PREP,P01,S01,tripodGrip,49,179,311,206,320,,0,0
222860093000000,53,PREP,P01,S01,tripodGrip,49,179,311,207,321,,0,0
222860109000000,54,PREP,P01,S01,tripodGrip,49,179,311,207,320,,0,0
222860109000000,55,PREP,P01,S01,tripodGrip,49,179,311,207,321,,0,0
222860125000000,56,PREP,P01,S01,tripodGrip,49,179,311,207,320,,0,0
222860125000000,57,PREP,P01,S01,tripodGrip,49,178,311,207,321,,0,0
222860140000000,58,PREP,P01,S01,tripodGrip,49,179,311,207,321,,0,0
222860156000000,59,PREP,P01,S01,tripodGrip,49,178,311,207,321,,0,0
222860156000000,60,PREP,P01,S01,tripodGrip,49,179,310,206,321,,0,0
222860171000000,61,PREP,P01,S01,tripodGrip,49,178,310,206,322,,0,0
222860187000000,62,PREP,P01,S01,tripodGrip,49,179,312,207,322,,0,0
222860187000000,63,PREP,P01,S01,tripodGrip,49,178,313,207,322,,0,0
222860203000000,64,PREP,P01,S01,tripodGrip,49,179,316,207,322,,0,0
222860218000000,65,PREP,P01,S01,tripodGrip,49,178,316,207,322,,0,0
222860218000000,66,PREP,P01,S01,tripodGrip,49,179,316,206,321,,0,0
222860234000000,67,PREP,P01,S01,tripodGrip,49,179,317,206,322,,0,0
222860250000000,68,PREP,P01,S01,tripodGrip,49,178,316,206,322,,0,0
222860250000000,69,PREP,P01,S01,tripodGrip,49,178,316,206,322,,0,0
222860265000000,70,PREP,P01,S01,tripodGrip,49,178,316,206,322,,0,0
222860265000000,71,PREP,P01,S01,tripodGrip,49,178,316,206,322,,0,0
222860281000000,72,PREP,P01,S01,tripodGrip,49,179,316,206,323,,0,0
222860296000000,73,PREP,P01,S01,tripodGrip,49,178,315,206,322,,0,0
222860296000000,74,PREP,P01,S01,tripodGrip,49,178,315,206,322,,0,0
222860312000000,75,PREP,P01,S01,tripodGrip,49,178,315,206,321,,0,0
222860328000000,76,PREP,P01,S01,tripodGrip,49,178,315,206,322,,0,0
222860328000000,77,PREP,P01,S01,tripodGrip,49,178,315,203,322,,0,0
222860343000000,78,PREP,P01,S01,tripodGrip,49,178,314,206,323,,0,0
