t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222878625000000,22.14,22.12,8.37,17.64,8.8,2.82,23.55,6.26,1.09,28.0,5.07,2.92,26.87,5.08,3.08,0
222878640000000,22.14,22.12,8.37,17.64,8.8,2.82,23.55,6.26,1.09,28.0,5.07,2.92,26.87,5.08,3.08,0
222878656000000,22.14,22.12,8.37,17.64,8.8,2.82,23.55,6.26,1.09,28.0,5.07,2.92,26.87,5.08,3.08,0
222878656000000,22.14,22.12,8.37,17.64,8.8,2.82,23.55,6.26,1.09,28.0,5.07,2.92,26.87,5.08,3.08,0
222878671000000,22.5,21.96,7.98,17.71,8.7,2.78,23.77,6.2,1.07,28.14,4.98,2.93,26.94,5.07,3.16,0
222878687000000,22.5,21.96,7.98,17.71,8.7,2.78,23.77,6.2,1.07,28.14,4.98,2.93,26.94,5.07,3.16,0
222878687000000,22.5,21.96,7.98,17.71,8.7,2.78,23.77,6.2,1.07,28.14,4.98,2.93,26.94,5.07,3.16,0
222878703000000,22.5,21.96,7.98,17.71,8.7,2.78,23.77,6.2,1.07,28.14,4.98,2.93,26.94,5.07,3.16,0
222878718000000,22.14,22.02,8.34,18.27,8.72,2.57,23.97,6.4,1.36,28.17,5.23,2.82,27.03,5.19,3.14,0
222878718000000,22.14,22.02,8.34,18.27,8.72,2.57,23.97,6.4,1.36,28.17,5.23,2.82,27.03,5.19,3.14,0
222878734000000,22.14,22.02,8.34,18.27,8.72,2.57,23.97,6.4,1.36,28.17,5.23,2.82,27.03,5.19,3.14,0
222878750000000,22.14,22.02,8.34,18.27,8.72,2.57,23.97,6.4,1.36,28.17,5.23,2.82,27.03,5.19,3.14,0
222878750000000,22.14,22.02,8.34,18.27,8.72,2.57,23.97,6.4,1.36,28.17,5.23,2.82,27.03,5.19,3.14,0
222878765000000,21.75,21.9,8.48,18.03,8.68,2.63,23.78,6.46,1.39,28.1,5.35,2.85,27.1,5.31,3.13,0
222878765000000,21.75,21.9,8.48,18.03,8.68,2.63,23.78,6.46,1.39,28.1,5.35,2.85,27.1,5.31,3.13,0
222878781000000,21.75,21.9,8.48,18.03,8.68,2.63,23.78,6.46,1.39,28.1,5.35,2.85,27.1,5.31,3.13,0
222878796000000,21.75,21.9,8.48,18.03,8.68,2.63,23.78,6.46,1.39,28.1,5.35,2.85,27.1,5.31,3.13,0
222878796000000,21.75,21.9,8.48,18.03,8.68,2.63,23.78,6.46,1.39,28.1,5.35,2.85,27.1,5.31,3.13,0
222878812000000,22.27,22.02,7.72,17.58,8.64,2.58,23.5,6.22,1.32,27.89,5.05,2.81,27.06,5.17,3.12,0
222878828000000,22.27,22.02,7.72,17.58,8.64,2.58,23.5,6.22,1.32,27.89,5.05,2.81,27.06,5.17,3.12,0
222878828000000,22.27,22.02,7.72,17.58,8.64,2.58,23.5,6.22,1.32,27.89,5.05,2.81,27.06,5.17,3.12,0
222878843000000,22.27,22.02,7.72,17.58,8.64,2.58,23.5,6.22,1.32,27.89,5.05,2.81,27.06,5.17,3.12,0
222878859000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878859000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878875000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878875000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878890000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878906000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878906000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
222878921000000,22.52,21.76,7.75,17.45,8.8,2.91,23.52,6.29,1.05,27.98,5.03,2.94,26.96,5.1,3.18,0
